fund_identifier,funds,fees,fund_company
HFIPS,Harmonized Fixed Income Fund (HFIPS),0.0144,Canada Life
HCEPS,Harmonized Canadian Equity Fund (HCEPS),0.01548,Canada Life
HFEPS,Harmonized Foreign Equity Fund (HFEPS),0.01592,Canada Life
HSEPS,Harmonized Special Equity Fund (HSEPS),0.0161,Canada Life
HY25,Harmonized Conservative Fund 2025 (HY25),0.01502,Canada Life
HY30,Harmonized Conservative Fund 2030 (HY30),0.01508,Canada Life
HY35,Harmonized Conservative Fund 2035 (HY35),0.01514,Canada Life
HY40,Harmonized Conservative Fund 2040 (HY40),0.01519,Canada Life
HY45,Harmonized Conservative Fund 2045 (HY45),0.01525,Canada Life
HY50,Harmonized Conservative Fund 2050 (HY50),0.01525,Canada Life
HY55,Harmonized Conservative Fund 2055 (HY55),0.01525,Canada Life
HY60,Harmonized Conservative Fund 2060 (HY60),0.01525,Canada Life
HY65,Harmonized Conservative Fund 2065 (HY65),0.01525,Canada Life
H25,Harmonized Fund 2025 (H25),0.01508,Canada Life
H30,Harmonized Fund 2030 (H30),0.01515,Canada Life
H35,Harmonized Fund 2035 (H35),0.01521,Canada Life
H40,Harmonized Fund 2040 (H40),0.01528,Canada Life
H45,Harmonized Fund 2045 (H45),0.01533,Canada Life
H50,Harmonized Fund 2050 (H50),0.01533,Canada Life
H55,Harmonized Fund 2055 (H55),0.01533,Canada Life
H60,Harmonized Fund 2060 (H60),0.01533,Canada Life
H65,Harmonized Fund 2065 (H65),0.01533,Canada Life
HZ25,Harmonized Aggressive Fund 2025 (HZ25),0.01513,Canada Life
HZ30,Harmonized Aggressive Fund 2030 (HZ30),0.01521,Canada Life
HZ35,Harmonized Aggressive Fund 2035 (HZ35),0.01529,Canada Life
HZ40,Harmonized Aggressive Fund 2040 (HZ40),0.01533,Canada Life
HZ45,Harmonized Aggressive Fund 2045 (HZ45),0.01533,Canada Life
HZ50,Harmonized Aggressive Fund 2050 (HZ50),0.01533,Canada Life
HZ55,Harmonized Aggressive Fund 2055 (HZ55),0.01533,Canada Life
HZ60,Harmonized Aggressive Fund 2060 (HZ60),0.01533,Canada Life
HZ65,Harmonized Aggressive Fund 2065 (HZ65),0.01533,Canada Life
LCOPR,Conservative Profile Fund (LCOPR),0.01621,Canada Life
LMOPR,Moderate Profile Fund (LMOPR),0.01619,Canada Life
LBAPR,Balanced Profile Fund (LBAPR),0.01617,Canada Life
LCFPR,Advanced Profile Fund (LCFPR),0.01616,Canada Life
LAGPR,Aggressive Profile Fund (LAGPR),0.01613,Canada Life
CADFI,Cadence Fixed Income Fund (CADFI),0.016,Canada Life
CAD25,Cadence 2025 Fund (CAD25),0.01641,Canada Life
CAD30,Cadence 2030 Fund (CAD30),0.0164,Canada Life
CAD35,Cadence 2035 Fund (CAD35),0.01639,Canada Life
CAD40,Cadence 2040 Fund (CAD40),0.01638,Canada Life
CAD45,Cadence 2045 Fund (CAD45),0.01638,Canada Life
CAD50,Cadence 2050 Fund (CAD50),0.01638,Canada Life
CAD55,Cadence 2055 Fund (CAD55),0.01638,Canada Life
CAD60,Cadence 2060 Fund (CAD60),0.01638,Canada Life
CAD65,Cadence 2065 Fund (CAD65),0.01638,Canada Life
CADEQ,Cadence Equity Fund (CADEQ),0.01684,Canada Life
LCOPO,Conservative Portfolio Fund (LCOPO),0.01618,Canada Life
LMOPO,Moderate Portfolio Fund (LMOPO),0.01616,Canada Life
LBAPO,Balanced Portfolio Fund (LBAPO),0.01615,Canada Life
LADPO,Advanced Portfolio Fund (LADPO),0.01615,Canada Life
LAGPO,Aggressive Portfolio Fund (LAGPO),0.01614,Canada Life
S605,Conservative Continuum Fund (S605),0.01648,Canada Life
S606,Moderate Continuum Fund (S606),0.01648,Canada Life
S607,Balanced Continuum Fund (S607),0.01648,Canada Life
S608,Advanced Continuum Fund (S608),0.01648,Canada Life
S609,Aggressive Continuum Fund (S609),0.01649,Canada Life
CNY25,Continuum 2025 Conservative Fund (CNY25),0.01698,Canada Life
CNY30,Continuum 2030 Conservative Fund (CNY30),0.01698,Canada Life
CNY35,Continuum 2035 Conservative Fund (CNY35),0.01698,Canada Life
CNY40,Continuum 2040 Conservative Fund (CNY40),0.01698,Canada Life
CNY45,Continuum 2045 Conservative Fund (CNY45),0.01698,Canada Life
CNY50,Continuum 2050 Conservative Fund (CNY50),0.01698,Canada Life
CNY55,Continuum 2055 Conservative Fund (CNY55),0.01698,Canada Life
CNY60,Continuum 2060 Conservative Fund (CNY60),0.01698,Canada Life
CNY65,Continuum 2065 Conservative Fund (CNY65),0.01697,Canada Life
CNT25,Continuum 2025 Fund (CNT25),0.01698,Canada Life
CNT30,Continuum 2030 Fund (CNT30),0.01698,Canada Life
CNT35,Continuum 2035 Fund (CNT35),0.01698,Canada Life
CNT40,Continuum 2040 Fund (CNT40),0.01698,Canada Life
CNT45,Continuum 2045 Fund (CNT45),0.01698,Canada Life
CNT50,Continuum 2050 Fund (CNT50),0.01698,Canada Life
CNT55,Continuum 2055 Fund (CNT55),0.01698,Canada Life
CNT60,Continuum 2060 Fund (CNT60),0.01698,Canada Life
CNT65,Continuum 2065 Fund (CNT65),0.01698,Canada Life
CNZ25,Continuum 2025 Aggressive Fund (CNZ25),0.01698,Canada Life
CNZ30,Continuum 2030 Aggressive Fund (CNZ30),0.01698,Canada Life
CNZ35,Continuum 2035 Aggressive Fund (CNZ35),0.01698,Canada Life
CNZ40,Continuum 2040 Aggressive Fund (CNZ40),0.01699,Canada Life
CNZ45,Continuum 2045 Aggressive Fund (CNZ45),0.01698,Canada Life
CNZ50,Continuum 2050 Aggressive Fund (CNZ50),0.01698,Canada Life
CNZ55,Continuum 2055 Aggressive Fund (CNZ55),0.01698,Canada Life
CNZ60,Continuum 2060 Aggressive Fund (CNZ60),0.01698,Canada Life
CNZ65,Continuum 2065 Aggressive Fund (CNZ65),0.01698,Canada Life
LREG,Real Estate Fund (LREG),0.02133,Canada Life
LTBL,Long Term Bond Fund (LTBL),0.01433,Canada Life
RRBP,Real Return Bond Fund (RRBP),0.01433,Canada Life
ULTBP,Ultra Long Term Bond Fund (ULTBP),0.01433,Canada Life
LLMRT,Mortgage Fund (LLMRT),0.01683,Canada Life
LMG,Commercial Mortgage Fund (LMG),0.01683,Canada Life
LBIG,Balanced Index Fund (LBIG),0.01389,Canada Life
S036,Foreign Bond Fund (S036),0.01608,Canada Life
GLEQC,Global Equity Fund (GLEQC),0.01633,Canada Life
LSGAG,Far East Fund (LSGAG),0.01633,Canada Life
LCOMK,Global Low Volatility Fund (LCOMK),0.01633,Canada Life
RETCO,Retirement Conservative Fund (RETCO),0.0165,Canada Life
RETMO,Retirement Moderate Fund (RETMO),0.01653,Canada Life
RETBA,Retirement Balanced Fund (RETBA),0.01657,Canada Life
LLMON,Canadian Money Market Fund (LLMON),0.01383,Canada Life
S029,Money Market LK Fund (S029),0.01383,Canada Life
LCBIL,Canadian Bond Universe Index Fund (LCBIL),0.01383,Canada Life
LCBG,Canadian Core Fixed Income Fund (LCBG),0.01433,Canada Life
STBP,Canadian Short Term Bond Fund (STBP),0.01433,Canada Life
LLBON,Core Bond Fund (LLBON),0.01433,Canada Life
S019,Core Plus Bond Fund (S019),0.01483,Canada Life
CORBP,Corporate Bond Fund (CORBP),0.01433,Canada Life
FRIMK,Floating Rate Income Fund (FRIMK),0.01583,Canada Life
LGBG,Government Bond Fund (LGBG),0.01433,Canada Life
SRBP,SRI Bond Fund (SRBP),0.01433,Canada Life
