fund_identifier,funds,fees,fund_company
BGI10,BlackRock LifePath 2010 Retirement,0.00485,Canada Life
BGI15,BlackRock LifePath 2015 Retirement,0.00485,Canada Life
BGI20,BlackRock LifePath 2020 Retirement,0.00474,Canada Life
BGI25,BlackRock LifePath 2025,0.00482,Canada Life
BGI30,BlackRock LifePath 2030,0.0049,Canada Life
BGI35,BlackRock LifePath 2035,0.00498,Canada Life
BGI40,BlackRock LifePath 2040,0.00504,Canada Life
BGI45,BlackRock LifePath 2045,0.00508,Canada Life
BGI50,BlackRock LifePath 2050,0.0051,Canada Life
BGI55,BlackRock LifePath 2055,0.00512,Canada Life
BGI60,BlackRock LifePath 2060,0.00539,Canada Life
BGI65,BlackRock LifePath 2065,0,Canada Life
BGIRT,BlackRock LifePath Retirement,0,Canada Life
BJF,Bond (Jarislowsky Fraser),0.00489,Canada Life
BSR,Bond (SRA),0.00561,Canada Life
CAACI,Cambridge Asset Allocation (CI),0.00633,Canada Life
CAD10,Cadence Retirement 2010 (PSG),0.00557,Canada Life
CAD15,Cadence 2015 Retirement (PSG),0.00557,Canada Life
CAD20,Cadence 2020 (PSG),0.00557,Canada Life
CAD25,Cadence 2025 (PSG),0.00557,Canada Life
CAD30,Cadence 2030 (PSG),0.00556,Canada Life
CAD35,Cadence 2035 (PSG),0.00557,Canada Life
CAD40,Cadence 2040 (PSG),0.00558,Canada Life
CAD45,Cadence 2045 (PSG),0.00558,Canada Life
CAD50,Cadence 2050 (PSG),0.00559,Canada Life
CAD55,Cadence 2055 (PSG),0.00559,Canada Life
CAD60,Cadence 2060 (PSG),0.00559,Canada Life
CADEQ,Cadence Equity (PSG),0,Canada Life
CADFI,Cadence Fixed Income (PSG),0,Canada Life
CBALF,Canadian Balanced (Fidelity),0.00833,Canada Life
CBMER,Socially Responsible Bond (NEI),0.00623,Canada Life
CBR,Core Plus Bond (CIBC),0.00633,Canada Life
CBTF,Canadian Bond Instl (Fidelity),0.006151,Canada Life
CCEF,Cdn Core Equity Instl (Fidelity),0.006171,Canada Life
CCLB,Bond (CC&L),0.005203,Canada Life
CCLI,International Equity (CC&L),0.01041,Canada Life
CDEF,Canadian Disciplined Equity (Fidelity),0.00833,Canada Life
CEBG,Pure Canadian Equity (Beutel Goodman),0.00643,Canada Life
CEGMB,Canadian Equity (MFS),0,Canada Life
CEJF,Canadian Equity (Jarislowsky Fraser),0.00538,Canada Life
CESR,Canadian Equity (SRA),0.00562,Canada Life
CETA,Equity (CIBC Global AM)*,0,Canada Life
CNT10,Continuum Retirement 2010 (PSG),0.006438,Canada Life
CNT15,Continuum 2015 Retirement (PSG),0.006438,Canada Life
CNT20,Continuum 2020 (PSG),0.006438,Canada Life
CNT25,Continuum 2025 (PSG),0.006444,Canada Life
CNT30,Continuum 2030 (PSG),0.006449,Canada Life
CNT35,Continuum 2035 (PSG),0.006453,Canada Life
CNT40,Continuum 2040 (PSG),0.006456,Canada Life
CNT45,Continuum 2045 (PSG),0.00646,Canada Life
CNT50,Continuum 2050 (PSG),0.006463,Canada Life
CNT55,Continuum 2055 (PSG),0.006465,Canada Life
CNT60,Continuum 2060 (PSG),0.006467,Canada Life
CNY20,Continuum Conservative 2020 (PSG),0,Canada Life
CNY25,Continuum Conservative 2025 (PSG),0,Canada Life
CNY30,Continuum Conservative 2030 (PSG),0,Canada Life
CNY35,Continuum Conservative 2035 (PSG),0,Canada Life
CNY40,Continuum Conservative 2040 (PSG),0,Canada Life
CNY45,Continuum Conservative 2045 (PSG),0,Canada Life
CNY50,Continuum Conservative 2050 (PSG),0,Canada Life
CNY55,Continuum Conservative 2055 (PSG),0,Canada Life
CNZ20,Continuum Aggressive 2020 (PSG),0,Canada Life
CNZ25,Continuum Aggressive 2025 (PSG),0,Canada Life
CNZ30,Continuum Aggressive 2030 (PSG),0,Canada Life
CNZ35,Continuum Aggressive 2035 (PSG),0,Canada Life
CNZ40,Continuum Aggressive 2040 (PSG),0,Canada Life
CNZ45,Continuum Aggressive 2045 (PSG),0,Canada Life
CNZ50,Continuum Aggressive 2050 (PSG),0,Canada Life
CNZ55,Continuum Aggressive 2055 (PSG),0,Canada Life
CNZ60,Continuum Aggressive 2060 (PSG),0,Canada Life
CORBP,Corporate Bond (Mackenzie),0.00383,Canada Life
