fund_identifier,funds,fees,fund_company
S029,Money Market (LK) (Mackenzie),0.00628,Canada Life
LLMON,Canadian Money Market (Mackenzie),0.00628,Canada Life
LTBL,Long Term Bond (Canada Life),0.00678,Canada Life
SRBP,SRI Bond (Mackenzie),0.00678,Canada Life
LCBIL,Cdn Bond Universe Index (Mackenzie),0.00628,Canada Life
CCLB,Bond (CC&L),0.008318481,Canada Life
LCBG,Cdn Core Fixed Income (Mackenzie),0.00678,Canada Life
LGBG,Government Bond (Mackenzie),0.00678,Canada Life
CPBPH,Canadian Core Plus Bond (PH&N),0.00898,Canada Life
LBOBG,Bond (Beutel Goodman),0.00803,Canada Life
BJF,Bond (Jarislowsky Fraser),0.008094,Canada Life
CBR,Core Plus Bond (CIBC),0.00928,Canada Life
FIMB,Fixed Income (MFS),0.00763,Canada Life
FRIMK,Floating Rate Income (Mackenzie),0.007992413,Canada Life
UFIMK,Unconstrained Fixed Income (Mackenzie),0.007993886,Canada Life
S019,Core Plus Bond (Mackenzie),0.00728,Canada Life
S158,Core Plus Bond (Bissett),0.00928,Canada Life
ULTBP,Ultra Long Term Bond (Canada Life),0.00678,Canada Life
S209,Fixed Income (TD Greystone),0.00788,Canada Life
S079,Canadian Bond Index (TDAM),0.006420387,Canada Life
LLBON,Core Bond (Mackenzie),0.00678,Canada Life
BSR,Bond (SRA),0.008559369,Canada Life
S149,Bond (PH&N),0.00848,Canada Life
CBTF,Canadian Bond Inst'l (Fidelity),0.0090847,Canada Life
STBP,Canadian Short Term Bond (Mackenzie),0.00678,Canada Life
CORBP,Corporate Bond (Mackenzie),0.00678,Canada Life
RRBP,Real Return Bond (Canada Life),0.00678,Canada Life
NABMK,North American High Yield Bond (Mackenzie),0.008016721,Canada Life
HFIPS,Harmonized Fixed Income (PSG),0.00682,Canada Life
LLMRT,Mortgage (Canada Life),0.00928,Canada Life
LMG,Commercial Mortgage (Canada Life),0.00928,Canada Life
LIBP,Global Bond (Brandywine),0.00955,Canada Life
