fund_identifier,fund_category,fund_company_id
S029,Money Market,0
LLMON,Money Market,0
PMM,Money Market,0
MMF,Money Market,0
LTBL,Fixed Income,0
SRBP,Fixed Income,0
LCBIL,Fixed Income,0
CCLB,Fixed Income,0
LCBG,Fixed Income,0
LGBG,Fixed Income,0
CPBPH,Fixed Income,0
LBOBG,Fixed Income,0
BJF,Fixed Income,0
CBR,Fixed Income,0
FIMB,Fixed Income,0
FRIMK,Fixed Income,0
UFIMK,Fixed Income,0
S019,Fixed Income,0
S158,Fixed Income,0
ULTBP,Fixed Income,0
S209,Fixed Income,0
S079,Fixed Income,0
LLBON,Fixed Income,0
BSR,Fixed Income,0
S149,Fixed Income,0
CBTF,Fixed Income,0
STBP,Fixed Income,0
CORBP,Fixed Income,0
RRBP,Fixed Income,0
NABMK,Fixed Income,0
HFIPS,Fixed Income,0
LLMRT,Fixed Income,0
LMG,Fixed Income,0
LIBP,Fixed Income,0
S036,Fixed Income,0
CPBF,Fixed Income,0
CPBLW,Fixed Income,0
CBMER,Fixed Income,0
FITA,Fixed Income,0
SICB,Fixed Income,0
LCOPR,Asset Allocation,0
LCOPO,Asset Allocation,0
S605,Asset Allocation,0
LMOPR,Asset Allocation,0
LMOPO,Asset Allocation,0
S606,Asset Allocation,0
LBAPR,Asset Allocation,0
LBAPO,Asset Allocation,0
S607,Asset Allocation,0
LCFPR,Asset Allocation,0
LADPO,Asset Allocation,0
S608,Asset Allocation,0
LAGPR,Asset Allocation,0
LAGPO,Asset Allocation,0
S609,Asset Allocation,0
CONCI,Asset Allocation,0
MODCI,Asset Allocation,0
BALCI,Asset Allocation,0
BGRCI,Asset Allocation,0
ADVCI,Asset Allocation,0
AGGCI,Asset Allocation,0
AGGIT,Asset Allocation,0
BALIT,Asset Allocation,0
ADVIT,Asset Allocation,0
CONIT,Asset Allocation,0
MODIT,Asset Allocation,0
BGI10,Target Date Funds,0
BGI15,Target Date Funds,0
BGI20,Target Date Funds,0
BGI25,Target Date Funds,0
BGI30,Target Date Funds,0
BGI35,Target Date Funds,0
BGI40,Target Date Funds,0
BGI45,Target Date Funds,0
BGI50,Target Date Funds,0
BGI55,Target Date Funds,0
BGI60,Target Date Funds,0
CAD10,Target Date Funds,0
CAD15,Target Date Funds,0
CAD20,Target Date Funds,0
CAD25,Target Date Funds,0
CAD30,Target Date Funds,0
CAD35,Target Date Funds,0
CAD40,Target Date Funds,0
CAD45,Target Date Funds,0
CAD50,Target Date Funds,0
CAD55,Target Date Funds,0
CAD60,Target Date Funds,0
CNT10,Target Date Funds,0
CNT15,Target Date Funds,0
