fund_identifier,funds,fees,fund_company
F00000QFU4,BGO Canadian Real Estate Plus Seg Fund,0.018441,Sun Life
FOUSA06ON1,BG Income Segregated Fund,0.01078,Sun Life
F00001DG22,AlphaFixe Green Bond Segregated Fund,0.011411,Sun Life
F00000W2E8,AlphaFixe Return Plus Segregated Fund,0.01245,Sun Life
FOUSA06OLW,BG American Equity Segregated Fund,0.01195,Sun Life
FOUSA06OM3,BG Balanced Segregated Fund,0.0114,Sun Life
F00000SA6Y,BG Fundamental Canadian Equity Seg Fund,0.01145,Sun Life
FOUSA06OMX,BG Global Segregated Fund,0.0125,Sun Life
FOUSA06ON3,BG International Equity Segregated Fund,0.0125,Sun Life
FOUSA06ON7,BG Small Cap Segregated Fund,0.01445,Sun Life
F00000YT9W,BlackRock ACWI Alpha Tilts Seg Fund(Reg),0.015309,Sun Life
FOUSA06OOS,BlackRock Cdn LEAF Segregated Fund,0.010217,Sun Life
F00000YT9X,BlackRock US Eq Ind Hedged Seg Fund(Reg),0.009834,Sun Life
F0CAN069W7,BLK Aggressive Balanced Index Seg Fund,0.009624,Sun Life
F0CAN069WA,BLK Conservative Balanced Index Seg Fund,0.009393,Sun Life
F0CAN069W9,BLK EAFE Equity Index Segregated Fund,0.010042,Sun Life
FOUSA06OXA,BLK Global Equity Index Segregated Fund,0.01057,Sun Life
FOUSA06OGU,BLK LifePath Index 2025 Segregated Fund,0.010648,Sun Life
F0CAN06ZKX,BLK LifePath Index 2030 Segregated Fund,0.010704,Sun Life
FOUSA06OGV,BLK LifePath Index 2035 Segregated Fund,0.010765,Sun Life
F0CAN06ZKV,BLK LifePath Index 2040 Segregated Fund,0.010814,Sun Life
FOUSA06SOH,BLK LifePath Index 2045 Segregated Fund,0.010844,Sun Life
F00000OLOB,BLK LifePath Index 2050 Segregated Fund,0.010857,Sun Life
F00000VOOP,BLK LifePath Index 2055 Segregated Fund,0.010857,Sun Life
F000011E5T,BLK LifePath Index 2060 Segregated Fund,0.010913,Sun Life
F0CAN06ZKT,BLK LifePath Index Retirement Seg Fund I,0.010636,Sun Life
F0CAN069W5,BLK Moderate Balanced Index Seg Fund,0.009454,Sun Life
F00000T67C,BLK MSCI Emerging Markets Index Seg Fund,0.010911,Sun Life
F0CAN069W6,BLK S&P/TSX Composite Index Seg Fund,0.008855,Sun Life
F0CAN069W8,BLK Universe Bond Index Segregated Fund,0.008837,Sun Life
FOUSA06OOW,BLK US Eq Index Segregated Fund (Reg),0.008855,Sun Life
