fund_identifier,fund_category,fund_company_id
FU506BRUT,Asset Allocation,3
FU507BRUT,Asset Allocation,3
FU508BRUT,Asset Allocation,3
FU509BRUT,Asset Allocation,3
FU510BRUT,Asset Allocation,3
FU922BRUT,Asset Allocation,3
FU923BRUT,Asset Allocation,3
FU924BRUT,Asset Allocation,3
FU925BRUT,Asset Allocation,3
FU926BRUT,Asset Allocation,3
FU940BRUT,Asset Allocation,3
FU941BRUT,Asset Allocation,3
FU240BRUT,Canadian Balanced Funds,3
FU889BRUT,Canadian Balanced Funds,3
FU040BRUT,Canadian Balanced Funds,3
FU751BRUT,Canadian Balanced Funds,3
FU463BRUT,Canadian Balanced Funds,3
FU380BRUT,Canadian Balanced Funds,3
FU522BRUT,Canadian Balanced Funds,3
FU250BRUT,Canadian Balanced Funds,3
FU462BRUT,Canadian Balanced Funds,3
FU944BRUT,Canadian Balanced Funds,3
FU160BRUT,Canadian Equity Funds,3
FU887BRUT,Canadian Equity Funds,3
FU633BRUT,Canadian Equity Funds,3
FU871BRUT,Canadian Equity Funds,3
FU464BRUT,Canadian Equity Funds,3
FU899BRUT,Canadian Equity Funds,3
FU488BRUT,Canadian Equity Funds,3
FU360BRUT,Canadian Equity Funds,3
FU010BRUT,Canadian Equity Funds,3
FU270BRUT,Canadian Equity Funds,3
FU870BRUT,Canadian Equity Funds,3
FU541BRUT,Canadian Equity Funds,3
FU723BRUT,Canadian Equity Funds,3
FU593BRUT,Canadian Equity Funds,3
FU352BRUT,Canadian Equity Funds,3
FU384BRUT,Canadian Equity Funds,3
FU385BRUT,Canadian Equity Funds,3
FU341BRUT,Canadian Equity Funds,3
FU862BRUT,Canadian Equity Funds,3
FU888BRUT,Canadian Equity Funds,3
FU752BRUT,Canadian Equity Funds,3
FU359BRUT,Canadian Equity Funds,3
FU753BRUT,Canadian Equity Funds,3
FU473BRUT,Canadian Equity Funds,3
FU151BRUT,Canadian Equity Funds,3
FU588BRUT,Canadian Equity Funds,3
FU634BRUT,Canadian Equity Funds,3
FU514BRUT,Canadian Equity Funds,3
FU170BRUT,Fixed Income,3
FU020BRUT,Fixed Income,3
FU472BRUT,Fixed Income,3
FU521BRUT,Fixed Income,3
FU632BRUT,Fixed Income,3
FU860BRUT,Fixed Income,3
FU453BRUT,Fixed Income,3
FU021BRUT,Fixed Income,3
FU504BRUT,Fixed Income,3
FU861BRUT,Fixed Income,3
FU893BRUT,Fixed Income,3
FU111BRUT,Fixed Income,3
FU587BRUT,Fixed Income,3
FU441BRUT,Fixed Income,3
FU722BRUT,Fixed Income,3
FU383BRUT,Fixed Income,3
FU489BRUT,Fixed Income,3
FU876BRUT,Global Equity Funds,3
FU707BRUT,Global Equity Funds,3
FU754BRUT,Global Equity Funds,3
FU390BRUT,Global Equity Funds,3
FU886BRUT,Global Equity Funds,3
FU133BRUT,Global Equity Funds,3
FU595BRUT,Global Equity Funds,3
FU331BRUT,Global Equity Funds,3
FU724BRUT,Global Equity Funds,3
FU235BRUT,Global Equity Funds,3
FU236BRUT,Global Equity Funds,3
FU237BRUT,Global Equity Funds,3
FU351BRUT,Global Equity Funds,3
FU353BRUT,Global Equity Funds,3
FU456BRUT,Global Equity Funds,3
FU386BRUT,Global Equity Funds,3
FU387BRUT,Global Equity Funds,3
FU342BRUT,Global Equity Funds,3
FU130BRUT,Global Equity Funds,3
FU609BRUT,Global Equity Funds,3
FU358BRUT,Global Equity Funds,3
FU641BRUT,Global Equity Funds,3
FU465BRUT,Global Equity Funds,3
FU589BRUT,Global Equity Funds,3
FU500BRUT,Global Equity Funds,3
FU865BRUT,Global Equity Funds,3
FU534BRUT,Global Equity Funds,3
FU863BRUT,Global Equity Funds,3
FU300BRUT,International Equity Funds,3
FU706BRUT,International Equity Funds,3
FU121BRUT,International Equity Funds,3
FU483BRUT,International Equity Funds,3
FU131BRUT,International Equity Funds,3
