fund_identifier,fund_category,fund_company_id
3132,Money Market,1
3191,Money Market,1
3131,Money Market,1
4012,Fixed Income,1
4131,Fixed Income,1
4133,Fixed Income,1
4136,Fixed Income,1
4141,Fixed Income,1
4142,Fixed Income,1
4161,Fixed Income,1
4162,Fixed Income,1
4191,Fixed Income,1
4192,Fixed Income,1
4242,Fixed Income,1
4271,Fixed Income,1
4273,Fixed Income,1
4292,Fixed Income,1
4322,Fixed Income,1
4341,Fixed Income,1
4372,Fixed Income,1
4442,Fixed Income,1
4444,Fixed Income,1
4503,Fixed Income,1
4632,Fixed Income,1
4660,Fixed Income,1
4661,Fixed Income,1
4663,Fixed Income,1
4991,Fixed Income,1
4323,Fixed Income,1
4138,Fixed Income,1
4447,Fixed Income,1
4446,Fixed Income,1
4013,Fixed Income,1
9070,Fixed Income,1
4280,Fixed Income,1
2001,Asset Allocation,1
2002,Asset Allocation,1
2003,Asset Allocation,1
2004,Asset Allocation,1
2005,Asset Allocation,1
2287,Asset Allocation,1
2288,Asset Allocation,1
2289,Asset Allocation,1
2231,Asset Allocation,1
2232,Asset Allocation,1
2233,Asset Allocation,1
2234,Asset Allocation,1
2235,Asset Allocation,1
2161,Asset Allocation,1
2162,Asset Allocation,1
2163,Asset Allocation,1
2421,Asset Allocation,1
2422,Asset Allocation,1
2423,Asset Allocation,1
2424,Asset Allocation,1
2425,Asset Allocation,1
2311,Asset Allocation,1
2312,Asset Allocation,1
2313,Asset Allocation,1
2000,Target Date Funds,1
2020,Target Date Funds,1
2025,Target Date Funds,1
2030,Target Date Funds,1
2035,Target Date Funds,1
2040,Target Date Funds,1
2045,Target Date Funds,1
2050,Target Date Funds,1
2055,Target Date Funds,1
2060,Target Date Funds,1
2140,Target Date Funds,1
2143,Target Date Funds,1
2144,Target Date Funds,1
2145,Target Date Funds,1
2146,Target Date Funds,1
2147,Target Date Funds,1
2148,Target Date Funds,1
2149,Target Date Funds,1
2150,Target Date Funds,1
2151,Target Date Funds,1
2321,Target Date Funds,1
2324,Target Date Funds,1
2325,Target Date Funds,1
2326,Target Date Funds,1
2327,Target Date Funds,1
2328,Target Date Funds,1
2329,Target Date Funds,1
2330,Target Date Funds,1
2331,Target Date Funds,1
2332,Target Date Funds,1
2680,Target Date Funds,1
2682,Target Date Funds,1
2683,Target Date Funds,1
2684,Target Date Funds,1
2685,Target Date Funds,1
2686,Target Date Funds,1
2687,Target Date Funds,1
2688,Target Date Funds,1
2689,Target Date Funds,1
2500,Target Date Funds,1
2530,Target Date Funds,1
2531,Target Date Funds,1
2532,Target Date Funds,1
2533,Target Date Funds,1
2534,Target Date Funds,1
2535,Target Date Funds,1
2536,Target Date Funds,1
2537,Target Date Funds,1
2241,Target Date Funds,1
2242,Target Date Funds,1
2243,Target Date Funds,1
2244,Target Date Funds,1
2245,Target Date Funds,1
2246,Target Date Funds,1
2247,Target Date Funds,1
2248,Target Date Funds,1
2249,Target Date Funds,1
2240,Target Date Funds,1
2690,Target Date Funds,1
5011,Canadian Balanced Funds,1
5012,Canadian Balanced Funds,1
5132,Canadian Balanced Funds,1
5141,Canadian Balanced Funds,1
5145,Canadian Balanced Funds,1
5181,Canadian Balanced Funds,1
5232,Canadian Balanced Funds,1
5241,Canadian Balanced Funds,1
5271,Canadian Balanced Funds,1
5291,Canadian Balanced Funds,1
5292,Canadian Balanced Funds,1
5301,Canadian Balanced Funds,1
5441,Canadian Balanced Funds,1
5452,Canadian Balanced Funds,1
5481,Canadian Balanced Funds,1
5631,Canadian Balanced Funds,1
5972,Canadian Balanced Funds,1
2663,Canadian Balanced Funds,1
5585,Canadian Balanced Funds,1
5661,Canadian Balanced Funds,1
5091,Canadian Balanced Funds,1
5161,Canadian Balanced Funds,1
5162,Canadian Balanced Funds,1
5163,Canadian Balanced Funds,1
5164,Canadian Balanced Funds,1
5233,Canadian Balanced Funds,1
5313,Canadian Balanced Funds,1
5682,Canadian Balanced Funds,1
5445,Canadian Balanced Funds,1
5444,Canadian Balanced Funds,1
5446,Canadian Balanced Funds,1
9069,Canadian Balanced Funds,1
7011,Canadian Equity Funds,1
7012,Canadian Equity Funds,1
7013,Canadian Equity Funds,1
7014,Canadian Equity Funds,1
7121,Canadian Equity Funds,1
7125,Canadian Equity Funds,1
7131,Canadian Equity Funds,1
7132,Canadian Equity Funds,1
7141,Canadian Equity Funds,1
7142,Canadian Equity Funds,1
7143,Canadian Equity Funds,1
7144,Canadian Equity Funds,1
7146,Canadian Equity Funds,1
7181,Canadian Equity Funds,1
7241,Canadian Equity Funds,1
7272,Canadian Equity Funds,1
7293,Canadian Equity Funds,1
7294,Canadian Equity Funds,1
7313,Canadian Equity Funds,1
7314,Canadian Equity Funds,1
7321,Canadian Equity Funds,1
7382,Canadian Equity Funds,1
7441,Canadian Equity Funds,1
7442,Canadian Equity Funds,1
7451,Canadian Equity Funds,1
7481,Canadian Equity Funds,1
7502,Canadian Equity Funds,1
7601,Canadian Equity Funds,1
7631,Canadian Equity Funds,1
7632,Canadian Equity Funds,1
7661,Canadian Equity Funds,1
7812,Canadian Equity Funds,1
7971,Canadian Equity Funds,1
7316,Canadian Equity Funds,1
7322,Canadian Equity Funds,1
7015,Canadian Equity Funds,1
7122,Canadian Equity Funds,1
7381,Canadian Equity Funds,1
7503,Canadian Equity Funds,1
7871,Canadian Equity Funds,1
7636,Canadian Equity Funds,1
7136,Canadian Equity Funds,1
7032,Canadian Equity Funds,1
8115,US Equity Funds,1
8121,US Equity Funds,1
8185,US Equity Funds,1
8243,US Equity Funds,1
8444,US Equity Funds,1
8660,US Equity Funds,1
8664,US Equity Funds,1
8762,US Equity Funds,1
8871,US Equity Funds,1
8971,US Equity Funds,1
8013,US Equity Funds,1
8131,US Equity Funds,1
8132,US Equity Funds,1
8142,US Equity Funds,1
8143,US Equity Funds,1
8163,US Equity Funds,1
8196,US Equity Funds,1
8231,US Equity Funds,1
8322,US Equity Funds,1
8451,US Equity Funds,1
8631,US Equity Funds,1
8683,US Equity Funds,1
8323,US Equity Funds,1
8016,US Equity Funds,1
8014,International Equity Funds,1
8011,International Equity Funds,1
8183,International Equity Funds,1
8192,International Equity Funds,1
8321,International Equity Funds,1
8361,International Equity Funds,1
8382,International Equity Funds,1
8452,International Equity Funds,1
8681,International Equity Funds,1
8813,International Equity Funds,1
8972,International Equity Funds,1
8294,International Equity Funds,1
8421,International Equity Funds,1
8401,International Equity Funds,1
8670,International Equity Funds,1
8015,Global Equity Funds,1
8114,Global Equity Funds,1
8141,Global Equity Funds,1
8161,Global Equity Funds,1
8181,Global Equity Funds,1
8184,Global Equity Funds,1
8324,Global Equity Funds,1
8362,Global Equity Funds,1
8431,Global Equity Funds,1
8441,Global Equity Funds,1
8501,Global Equity Funds,1
8507,Global Equity Funds,1
8508,Global Equity Funds,1
