fund_identifier,fund_category,fund_company_id
FOUSA06ORN,Money Market,2
FOUSA06OOS,Money Market,2
F0CAN069W8,Fixed Income,2
FOUSA06OM2,Fixed Income,2
FOUSA06ONU,Fixed Income,2
F00000Q62B,Fixed Income,2
F00000MSJV,Fixed Income,2
F00000MSJT,Fixed Income,2
F00000MSJU,Fixed Income,2
F00000Q62C,Fixed Income,2
FOUSA06ORT,Fixed Income,2
F00000Q62D,Fixed Income,2
FOUSA06ORW,Fixed Income,2
F00000W2E8,Fixed Income,2
F000013KCF,Fixed Income,2
FOUSA06OMC,Fixed Income,2
F00000YT9T,Fixed Income,2
F00000VYJK,Fixed Income,2
F00000YT9S,Fixed Income,2
F000015HNN,Fixed Income,2
F00001DG22,Fixed Income,2
F00001CHQ9,Fixed Income,2
F00001CHQB,Fixed Income,2
F00001CHQC,Fixed Income,2
F000010TYU,Fixed Income,2
F00000XBW8,Fixed Income,2
F0CAN069WA,Asset Allocation,2
F0CAN069W5,Asset Allocation,2
F0CAN069W7,Asset Allocation,2
FOUSA06OPU,Asset Allocation,2
FOUSA06OPR,Asset Allocation,2
FOUSA06OPQ,Asset Allocation,2
FOUSA06OPP,Asset Allocation,2
FOUSA06OPT,Asset Allocation,2
FOUSA06OPV,Asset Allocation,2
F0CAN069WP,Asset Allocation,2
F0CAN069WQ,Asset Allocation,2
F0CAN069WR,Asset Allocation,2
FOUSA08PDZ,Asset Allocation,2
FOUSA08PE0,Asset Allocation,2
FOUSA08PE1,Asset Allocation,2
FOUSA08PE2,Asset Allocation,2
FOUSA08PE3,Asset Allocation,2
F0CAN06YCT,Target Date Funds,2
F0CAN06YCU,Target Date Funds,2
F0CAN06YCV,Target Date Funds,2
F0CAN06YCW,Target Date Funds,2
F00000H9MM,Target Date Funds,2
F00000X8PN,Target Date Funds,2
F00000X8PO,Target Date Funds,2
F000013QNW,Target Date Funds,2
F0CAN06ZKT,Target Date Funds,2
FOUSA06OGU,Target Date Funds,2
F0CAN06ZKX,Target Date Funds,2
FOUSA06OGV,Target Date Funds,2
F0CAN06ZKV,Target Date Funds,2
FOUSA06SOH,Target Date Funds,2
F00000OLOB,Target Date Funds,2
F00000VOOP,Target Date Funds,2
F000011E5T,Target Date Funds,2
FOUSA06OO4,Target Date Funds,2
FOUSA06OOO,Target Date Funds,2
FOUSA06OOP,Target Date Funds,2
FOUSA06OOQ,Target Date Funds,2
FOUSA06OOR,Target Date Funds,2
FOUSA08MZ1,Target Date Funds,2
FOUSA08MZ2,Target Date Funds,2
F00000WUXK,Target Date Funds,2
F0000139VT,Target Date Funds,2
F000016XIO,Target Date Funds,2
FOUSA08ZG4,Target Date Funds,2
FOUSA08ZG7,Target Date Funds,2
FOUSA08ZG8,Target Date Funds,2
FOUSA08ZG9,Target Date Funds,2
FOUSA08ZGA,Target Date Funds,2
FOUSA08ZGB,Target Date Funds,2
F00000NCJU,Target Date Funds,2
F00000VOOQ,Target Date Funds,2
F000013QO0,Target Date Funds,2
FOUSA06VO2,Target Date Funds,2
FOUSA06VOZ,Target Date Funds,2
FOUSA06VP0,Target Date Funds,2
FOUSA06VP1,Target Date Funds,2
FOUSA06VP2,Target Date Funds,2
FOUSA06VP3,Target Date Funds,2
F00000PH35,Target Date Funds,2
F00000PH36,Target Date Funds,2
F000010PCG,Target Date Funds,2
FOUSA06OM3,Canadian Balanced Funds,2
FOUSA06OM1,Canadian Balanced Funds,2
F0CAN069WN,Canadian Balanced Funds,2
FOUSA06SLO,Canadian Balanced Funds,2
FOUSA06OPY,Canadian Balanced Funds,2
FOUSA06ORA,Canadian Balanced Funds,2
FOUSA06OG1,Canadian Balanced Funds,2
FOUSA06OR0,Canadian Balanced Funds,2
FOUSA06OTP,Canadian Balanced Funds,2
FOUSA06OOV,Canadian Balanced Funds,2
FOUSA06OLE,Canadian Balanced Funds,2
FOUSA06OLP,Canadian Balanced Funds,2
FOUSA06ONR,Canadian Balanced Funds,2
FOUSA06ORU,Canadian Balanced Funds,2
FOUSA06OQG,Canadian Balanced Funds,2
F00001CHQ8,Canadian Balanced Funds,2
F00000XMW1,Canadian Balanced Funds,2
F00000SA6Y,Canadian Equity Funds,2
FOUSA06OMS,Canadian Equity Funds,2
F0CAN069W6,Canadian Equity Funds,2
FOUSA06ORX,Canadian Equity Funds,2
FOUSA06ON4,Canadian Equity Funds,2
FOUSA06OQC,Canadian Equity Funds,2
FOUSA06P87,Canadian Equity Funds,2
FOUSA06OUJ,Canadian Equity Funds,2
FOUSA06OTO,Canadian Equity Funds,2
FOUSA06OLU,Canadian Equity Funds,2
F0000159TR,Canadian Equity Funds,2
F00000Q629,Canadian Equity Funds,2
FOUSA06ONZ,Canadian Equity Funds,2
F00000PECR,Canadian Equity Funds,2
F00000MCRN,Canadian Equity Funds,2
FOUSA06ORV,Canadian Equity Funds,2
F00001CHQA,Canadian Equity Funds,2
F00000QK01,Canadian Equity Funds,2
FOUSA06P82,Canadian Equity Funds,2
FOUSA06OLX,Canadian Equity Funds,2
F0000102IW,Canadian Equity Funds,2
F0000147EG,Canadian Equity Funds,2
