fund_identifier,funds,returns,fund_type,fund_company
FU506BRUT,Asset Allocation - Conservative ,-1.7811069999999998,Available,Industrial Alliance
FU507BRUT,Asset Allocation - Moderate ,-1.762503,Available,Industrial Alliance
FU508BRUT,Asset Allocation - Balanced ,-1.751913,Available,Industrial Alliance
FU509BRUT,Asset Allocation - Growth ,-1.7335879999999997,Available,Industrial Alliance
FU510BRUT,Asset Allocation - Aggressive Growth ,-1.732123,Available,Industrial Alliance
FU922BRUT,Portfolio Series Income (CI),-1.074531,Available,Industrial Alliance
FU923BRUT,Portfolio Series Conservative (CI),-1.218273,Available,Industrial Alliance
FU924BRUT,Portfolio Series Balanced (CI),-1.248434,Available,Industrial Alliance
FU925BRUT,Portfolio Series Balanced Growth (CI),-1.265021,Available,Industrial Alliance
FU926BRUT,Portfolio Series Growth (CI),-1.313407,Available,Industrial Alliance
FU070BRUT,Money Market,0.47791200000000006,Available,Industrial Alliance
FU170BRUT,Short Term Bond,-0.317128,Available,Industrial Alliance
FU722BRUT,Canadian Bond Index (BlackRock),-2.001651,Available,Industrial Alliance
FU383BRUT,Green Bond (AlphaFixe),-2.08273,Available,Industrial Alliance
FU020BRUT,Bond,-1.987629,Available,Industrial Alliance
FU587BRUT,Responsible Fossil Fuel Free Bond,-2.028013,Available,Industrial Alliance
FU472BRUT,Bond (Fiera Capital),-2.215276,Available,Industrial Alliance
FU521BRUT,Bond (PH&N),-1.959899,Available,Industrial Alliance
FU632BRUT,Core Plus Bond (PH&N),-1.9549429999999999,Available,Industrial Alliance
FU860BRUT,Core Plus Bond (PIMCO),-1.9569269999999999,Available,Industrial Alliance
FU453BRUT,ReturnPlus (AlphaFixe),-2.083765,Available,Industrial Alliance
FU021BRUT,Canadian Corporate Bond,-1.191055,Available,Industrial Alliance
FU504BRUT,Long Term Bond,-4.449625,Available,Industrial Alliance
FU861BRUT,Core Plus Long Term Bond (PIMCO),-4.448416,Available,Industrial Alliance
FU893BRUT,Global Fixed Income (PIMCO),-1.30983,Available,Industrial Alliance
FU111BRUT,Floating Rate Bank Loan (AlphaFixe)*,0.489093,Available,Industrial Alliance
FU240BRUT,Diversified Security,-1.467164,Available,Industrial Alliance
FU889BRUT,Balanced Moderate Index (BlackRock),-2.153972,Available,Industrial Alliance
FU040BRUT,Diversified,-1.476743,Available,Industrial Alliance
FU751BRUT,Balanced (Beutel Goodman),-2.471332,Available,Industrial Alliance
FU463BRUT,Balanced (Jarislowsky)*,-2.428457,Available,Industrial Alliance
FU944BRUT,Sustainable Balanced,-2.047784,Available,Industrial Alliance
FU380BRUT,Balanced Growth (MFS),-2.106142,Available,Industrial Alliance
FU522BRUT,Balanced (PH&N),-1.83683,Available,Industrial Alliance
FU250BRUT,Diversified Opportunity,-1.432159,Available,Industrial Alliance
FU462BRUT,Fidelity Canadian Asset Allocation,-2.075384,Available,Industrial Alliance
FU723BRUT,Canadian Equity Index (BlackRock),-1.825711,Available,Industrial Alliance
FU160BRUT,Dividend,-1.454343,Available,Industrial Alliance
FU887BRUT,Canadian Dividend (Beutel Goodman),-3.249186,Available,Industrial Alliance
FU888BRUT,Canadian Equity Low Volatility (TD),-1.466588,Available,Industrial Alliance
FU359BRUT,Fundamental Canadian Equity (Beutel Goodman),-3.6058110000000005,Available,Industrial Alliance
FU752BRUT,Canadian Equity (Beutel Goodman)**,-3.463053,Available,Industrial Alliance
