Investment Funds,Fund Code,Fund Code,Benchmark Index,Investment Advisor,Date of inception,Assets in $M,YTD,1 month
Asset Allocation - Conservative ,FU506,506,INDC506,Multiple,2004-11-15 00:00:00,79.5831423,0.03810579,0.0029852299999999997
Asset Allocation - Moderate ,FU507,507,INDC507,Multiple,2004-11-15 00:00:00,151.60953107,0.04799332,0.00843588
Asset Allocation - Balanced ,FU508,508,INDC508,Multiple,2004-12-15 00:00:00,413.73884424,0.056017210000000005,0.01289424
Asset Allocation - Growth ,FU509,509,INDC509,Multiple,2004-12-15 00:00:00,260.12464387,0.06414828,0.01713958
Asset Allocation - Aggressive Growth ,FU510,510,INDC510,Multiple,2004-12-15 00:00:00,133.08009891,0.07127502,0.021193689999999998
Portfolio Series Income (CI),FU922,922,INDC922,CI Investments,2018-01-31 00:00:00,4.545844939999999,0.04520915,0.00814109
Portfolio Series Conservative (CI),FU923,923,INDC923,CI Investments,2018-01-31 00:00:00,20.46656485,0.05691866,0.010203519999999999
Portfolio Series Balanced (CI),FU924,924,INDC924,CI Investments,2018-01-31 00:00:00,22.22695899,0.0740815,0.01726167
Portfolio Series Balanced Growth (CI),FU925,925,INDC925,CI Investments,2018-01-31 00:00:00,17.31886726,0.08707700000000002,0.02089169
Portfolio Series Growth (CI),FU926,926,INDC926,CI Investments,2018-01-31 00:00:00,16.010031650000002,0.09610221,0.0243599
Money Market,FU070,070,IN018,Industrial Alliance Investment Management Inc.,1991-09-07 00:00:00,753.9998663900001,0.02657178,0.00427549
Short Term Bond,FU170,170,IN019,Industrial Alliance Investment Management Inc.,1997-12-31 00:00:00,146.35603735000004,0.013618570000000002,-0.00058247
Canadian Bond Index (BlackRock),FU722,722,IN021,BlackRock,2020-04-22 00:00:00,251.27207063,0.013902639999999999,-0.0110458
Green Bond (AlphaFixe),FU383,383,IN021,AlphaFixe Capital,2020-12-01 00:00:00,1.3091636100000001,0.01523004,-0.009612929999999999
Bond,FU020,020,IN021,Industrial Alliance Investment Management Inc.,1978-06-30 00:00:00,3316.2062707000005,0.017032659999999998,-0.01172928
Responsible Fossil Fuel Free Bond,FU587,587,IN021,Industrial Alliance Investment Management,2015-10-30 00:00:00,56.46916072,0.0145261,-0.012722359999999999
Bond (Fiera Capital),FU472,472,IN021,Fiera Capital,2001-12-31 00:00:00,65.77963316,0.01714532,-0.01264975
Bond (PH&N),FU521,521,IN021,"Phillips, Hager & North",2005-11-03 00:00:00,32.42572422,0.01652609,-0.011052139999999998
Core Plus Bond (PH&N),FU632,632,IN021,"Phillips, Hager & North",2015-09-10 00:00:00,87.97233639999999,0.020672450000000002,-0.0090698
Core Plus Bond (PIMCO),FU860,860,IN021,PIMCO,2009-11-24 00:00:00,71.60011146,0.023172320000000003,-0.00913535
ReturnPlus (AlphaFixe),FU453,453,IN021,AlphaFixe Capital,2016-06-30 00:00:00,21.18123113,0.02760317,-0.0079076
Canadian Corporate Bond,FU021,021,IN100,Industrial Alliance Investment Management Inc.,2016-03-09 00:00:00,1828.3925053499997,0.02756132,-0.00292669
Long Term Bond,FU504,504,IN056,Industrial Alliance Investment Management Inc.,2004-09-01 00:00:00,298.12358742000004,0.027048359999999997,-0.02600158
Core Plus Long Term Bond (PIMCO),FU861,861,IN056,PIMCO,2009-11-24 00:00:00,135.84171708000002,0.03608199,-0.02497356
Global Fixed Income (PIMCO),FU893,893,IN124,PIMCO,2013-03-12 00:00:00,705.7113221099999,0.050037399999999996,0.00992318
Floating Rate Bank Loan (AlphaFixe)*,FU111,111,INDC111,AlphaFixe Capital,2015-09-30 00:00:00,58.03542118,0.04855669,0.00853926
Diversified Security,FU240,240,INDC240,Industrial Alliance Investment Management Inc.,1998-12-31 00:00:00,549.21891398,0.02975279,0.0025891300000000003
Balanced Moderate Index (BlackRock),FU889,889,INL889,BlackRock,2012-10-31 00:00:00,34.60916407,0.06983853,0.01143189
Diversified,FU040,040,INDC040,Industrial Alliance Investment Management Inc.,1987-01-31 00:00:00,2180.6074593000003,0.05063414,0.01196232
Balanced (Beutel Goodman),FU751,751,INDC751,"Beutel, Goodman & Company Limited",2011-11-15 00:00:00,105.86150715000001,0.05695779,0.006279400000000001
Balanced (Jarislowsky)*,FU463,463,INDC463,Jarislowsky Fraser,2001-02-22 00:00:00,68.63166855000001,0.11003474,0.00514975
Sustainable Balanced,FU944,944,INDC944,Industrial Alliance Investment Management Inc.,2022-10-04 00:00:00,0.5850599899999999,0.07180243,0.0009142
Balanced Growth (MFS),FU380,380,INDC380,MFS,2000-09-29 00:00:00,72.60174384,0.0739099,0.00603823
Balanced (PH&N),FU522,522,INDC522,"Phillips, Hager & North",2005-11-03 00:00:00,32.9681285,0.0692918,0.01345389
Diversified Opportunity,FU250,250,INDC250,Industrial Alliance Investment Management Inc.,1998-12-31 00:00:00,812.47179235,0.057724580000000004,0.01691854
Fidelity Canadian Asset Allocation,FU462,462,INDC462,Fidelity Investments ,2000-12-29 00:00:00,23.13872815,0.0788371,0.01335127
Canadian Equity Index (BlackRock),FU723,723,IN031,BlackRock,2020-04-22 00:00:00,114.58693441,0.08411107,0.02576689
Dividend,FU160,160,IN026,Industrial Alliance Investment Management Inc.,1997-12-31 00:00:00,970.4482293899998,0.05475091,0.01113935
Canadian Dividend (Beutel Goodman),FU887,887,IN024,"Beutel, Goodman & Company Limited",2012-07-18 00:00:00,35.52028161,0.05912847,0.0156251
Canadian Equity Low Volatility (TD),FU888,888,IN024,TD Asset Management ,2012-08-09 00:00:00,169.8324588,0.026941899999999998,-0.01120639
Fundamental Canadian Equity (Beutel Goodman),FU358,358,IN024,"Beutel, Goodman & Company Limited",2011-11-15 00:00:00,113.21258103,0.09544601999999999,0.04803632
Canadian Equity (Beutel Goodman)**,FU752,752,IN024,"Beutel, Goodman & Company Limited",2015-09-10 00:00:00,42.46075677,0.07186752,0.01604783
Canadian Equity Value (PH&N),FU633,633,IN031,"Phillips, Hager & North",2012-01-31 00:00:00,24.050453119999997,0.08483499,0.02495252
Fidelity Canadian Focused Equity,FU871,871,IN031,Fidelity Investments ,2009-11-24 00:00:00,328.30389061,0.07784833,0.026847850000000003
Fidelity Canadian Systematic Equity,FU862,862,IN024,Fidelity Investments ,2012-08-09 00:00:00,18.867706350000002,0.06408544,0.01699789
Canadian Equity Growth,FU464,464,IN024,Industrial Alliance Investment Management Inc.,2001-10-31 00:00:00,925.89734194,0.08790279999999999,0.02362718
Canadian Equity Q Growth (CC&L),FU899,899,IN024,CC&L Investment Management Ltd.,2015-05-20 00:00:00,68.26813849000001,0.08899357000000001,0.02331616
Canadian Equity (Fiera Capital),FU593,593,IN024,Fiera Capital,2016-10-05 00:00:00,67.54437394,0.09439935999999999,-0.00516308
Canadian Ethical Equity Fossil Fuel Free (Fiera Capital),FU384,384,IN222,Fiera Capital,2020-12-01 00:00:00,59.01039531,0.09956251999999999,-0.00298443
Canadian Equity (Jarislowsky),FU488,488,IN024,Jarislowsky Fraser,2002-06-30 00:00:00,148.14932699000002,0.13593313,0.00103682
Canadian Equity Fossil Fuel Free (Jarislowsky),FU385,385,IN178,Jarislowsky Fraser,2020-12-01 00:00:00,19.58131828,0.14551332,0.00310464
Canadian Equity (MFS),FU360,360,IN031,MFS,2000-05-01 00:00:00,34.73709352,0.07557603,0.01690315
Fidelity True North®,FU270,270,IN031,Fidelity Investments ,1999-01-05 00:00:00,369.23074246,0.07781450000000001,0.01585827
Canadian Equity Small Cap,FU870,870,IN037,Industrial Alliance Investment Management Inc.,2014-01-20 00:00:00,197.8829946,0.08642855,0.05968383
Canadian Equity Small Cap (QV),FU541,541,IN037,QV Investors Inc.,2006-12-15 00:00:00,204.02908473,0.07361351,0.0264206
Global Equity Index ACWI (BlackRock),FU876,876,IN107,BlackRock,2012-07-05 00:00:00,168.07184876999997,0.15011570000000002,0.03094566
Global Equity,FU707,707,IN008,Industrial Alliance Investment Management Inc.,2009-07-13 00:00:00,137.5749115,0.13799478,0.03117958
Global Equity Low Volatility ACWI (TD),FU886,886,IN113,TD Asset Management ,2012-07-18 00:00:00,201.60564031,0.03502566,0.0052875000000000005
Fidelity Global Low Volatility Equity,FU351,351,IN008,Fidelity Investments ,2020-10-14 00:00:00,15.481426340000002,0.010419119999999999,0.01185174
Global Equity (Sprucegrove),FU754,754,IN008,Sprucegrove Investment Management Limited,2011-11-15 00:00:00,15.86305202,0.12050999,0.026498789999999998
Global Equity (Burgundy),FU342,342,IN113,Burgundy,2021-10-12 00:00:00,15.49553969,0.14328813,0.019848730000000002
Global Equity Opportunistic Value (Wellington),FU358,358,IN113,Wellington,2021-07-08 00:00:00,113.21258103,0.09544601999999999,0.04803632
Climate Strategy (Wellington),FU945,945,IN097,Wellington,2022-10-04 00:00:00,21.681654350000002,0.0940145,0.01931731
Global Equity Fossil Fuel Free (Jarislowsky),FU386,386,IN008,Jarislowsky Fraser,2020-12-01 00:00:00,7.8632272599999995,0.20431711,0.01433778
Global Research Equity (MFS),FU390,390,IN097,MFS,2000-08-31 00:00:00,72.50239882,0.12920368,0.023878550000000002
Global Equity (Mawer),FU133,133,INDC133,Mawer,2015-09-11 00:00:00,481.79146707,0.12366013000000001,0.00810407
Global Equity (Walter Scott),FU456,456,IN008,Walter Scott,2020-11-06 00:00:00,247.35571108000002,0.15334462000000001,0.00047131
Global Equity (Fiera Capital)**,FU595,595,IN008,Fiera Capital,2016-10-05 00:00:00,133.99668929999999,0.13781151,0.01625197
Global Equity (PH&N) ,FU724,724,IN008,"Phillips, Hager & North",2020-04-22 00:00:00,23.08161154,0.06773669,0.02964632
Global Equity Growth (T. Rowe Price),FU641,641,IN113,T. Rowe Price,2021-04-01 00:00:00,5.71655484,0.16713099,0.0349767
Global Equity (Baillie Gifford),FU331,331,IN113,Baillie Gifford,2020-03-20 00:00:00,254.29495218,0.15669901,0.02895571
Sustainable Growth (Baillie Gifford),FU387,387,IN113,Baillie Gifford,2020-12-01 00:00:00,18.646272149999998,0.18400821,0.03383212
Global Equity Small Cap (Fisher),FU781,781,IN079,Fisher Investments,2019-01-22 00:00:00,93.98225219,0.16246846,0.057941200000000005
Global Equity Small Cap (Global Alpha),FU609,609,IN079,Global Alpha,2022-02-23 00:00:00,13.100718310000001,0.07309447,0.03784254
Global Equity Small Cap (Mawer)**,FU130,130,INDC130,Mawer,2013-11-12 00:00:00,100.87098407999999,0.09724170000000001,0.02617962
International Equity Index (BlackRock),FU300,300,IN046,BlackRock,1999-11-30 00:00:00,250.05803716,0.12222271,0.0270894
International Equity,FU706,706,IN002,Industrial Alliance Investment Management Inc.,2008-11-03 00:00:00,454.88541037,0.13127882,0.031924549999999996
International Equity (Jarislowsky),FU483,483,IN002,Jarislowsky Fraser,2002-05-22 00:00:00,16.31303993,0.18560123,0.013334839999999999
International Equity (Mawer),FU131,131,INDC131,Mawer,2013-11-12 00:00:00,60.50388085,0.10034464,0.015178959999999998
International Equity (MFS),FU467,467,IN002,MFS,2001-09-24 00:00:00,38.8628134,0.1364314,0.013797090000000001
U.S. Equity Index (BlackRock),FU760,760,IN098,BlackRock,2011-11-15 00:00:00,240.17676788,0.17139173,0.02660161
U.S. Equity Index Non-Registered (BlackRock),FU895,895,IN014,BlackRock,2013-11-12 00:00:00,219.58076433000002,0.16955144,0.02643956
U.S. Dividend Growth,FU518,518,IN014,Industrial Alliance Investment Management Inc.,2005-10-31 00:00:00,321.69787594,0.06810985,0.02318133
U.S. Equity,FU705,705,IN014,Industrial Alliance Investment Management Inc.,2006-12-01 00:00:00,143.06092978,0.12252697,0.02817804
U.S. Equity (Jarislowsky),FU512,512,IN014,Jarislowsky Fraser,2004-11-15 00:00:00,19.61970489,0.21696307,0.03180853
U.S. Equity (Mawer),FU132,132,IN014,Mawer,2013-11-12 00:00:00,72.42501365000001,0.10216979,0.01735169
U.S. Equity Core (MFS),FU513,513,IN014,MFS,2004-11-15 00:00:00,28.532604109999998,0.11734099,0.0235627
U.S. Equity (Fiera Capital)**,FU479,479,IN014,Fiera Capital,2001-12-31 00:00:00,39.650823169999995,0.14313697,0.02634535
Thematic Innovation,FU233,233,IN014,Industrial Alliance Investment Management Inc.,2016-03-28 00:00:00,754.5561155700001,0.18152028,0.023022269999999997
U.S. Large Cap Core Growth Equity (T. Rowe Price),FU642,642,IN014,T. Rowe Price,2021-04-01 00:00:00,2.2666998200000004,0.35311532999999995,0.02727382
Emerging Markets Equity Index (BlackRock)*,FU898,898,INDC898,BlackRock,2013-11-12 00:00:00,8.914067339999999,0.08106173,0.05543978
Emerging Markets (abrdn)*,FU122,122,IN006,abrdn,2015-09-25 00:00:00,12.381219470000001,0.06987229,0.03861776
Emerging Markets (Templeton)*,FU758,758,IN006,Franklin Templeton Investments Corp.,2011-11-15 00:00:00,26.44483985,0.12965633000000001,0.055954819999999995
Emerging Markets (Baillie Gifford)*,FU332,332,IN006,Baillie Gifford,2020-03-20 00:00:00,170.54608876,0.14807723,0.05482185999999999
Balanced-Risk Allocation (Invesco),FU491,491,IN159,Invesco,2013-11-12 00:00:00,5.768589990000001,0.04651072,0.02616355
Global Developed Real Estate Index (BlackRock)*,FU896,896,IN133,BlackRock,2013-11-12 00:00:00,3.71770788,0.021589140000000003,0.032049789999999995
Fidelity Global Real Estate*,FU540,540,IN080,Fidelity Investments ,2006-10-16 00:00:00,27.647240409999995,0.037483249999999996,0.024476719999999997
Global Infrastructure Equity Index (BlackRock)*,FU897,897,IN243,BlackRock,2013-11-12 00:00:00,8.10082323,0.00117594,0.00724288
Global Infrastructure (Lazard)*,FU757,757,INDC757,Lazard Asset Management Inc.,2011-11-15 00:00:00,59.302571439999994,0.08645264,0.015280339999999998
Commercial Mortgage (Addenda)*,FU441,441,IN019,Addenda Capital,2019-07-31 00:00:00,81.1939985,0.029719310000000002,0.00226173
Private Debt (TD)*,FU442,442,IN021,TD Asset Management ,2019-07-31 00:00:00,76.33887875999999,0.02193559,-0.00451392
Diversified Fixed Income Alternatives*,FU333,333,INDC333,Multiple,2020-03-20 00:00:00,197.72789133,0.02127743,-0.0046708
Global Direct Real Estate - Portfolios (UBS)*,FU152,152,INDC152,UBS,2015-09-25 00:00:00,56.995841229999996,-0.04044552999999999,-0.00521364
Global Direct Real Estate - 100% (UBS)*,FU153,153,INDC153,UBS,2015-09-30 00:00:00,156.22564367,-0.06435312,-0.01818968
Global Direct Infrastructure - 100% (IFM)***,FU443,443,IN216,IFM Investors,2020-01-03 00:00:00,203.56975000999998,-,-
Diversified Alternatives*,FU334,334,INDC334,Multiple,2020-03-20 00:00:00,409.22633542,0.00468955,-0.00349262
LifePath Retirement Index I,FU884,884,INL884,BlackRock,2012-06-11 00:00:00,25.465777950000003,0.051958859999999996,0.00618645
LifePath 2025 Index,FU879,879,INL879,BlackRock,2012-06-11 00:00:00,74.03990866999999,0.05667949,0.0077500500000000005
LifePath 2030 Index,FU880,880,INL880,BlackRock,2012-06-11 00:00:00,94.44457379,0.06940442,0.01280883
LifePath 2035 Index,FU881,881,INL881,BlackRock,2012-06-11 00:00:00,100.73434752,0.08120150000000001,0.01748057
LifePath 2040 Index,FU882,882,INL882,BlackRock,2012-06-11 00:00:00,93.80162133000002,0.09330999000000001,0.02196783
LifePath 2045 Index,FU883,883,INL883,BlackRock,2012-06-11 00:00:00,83.90965998,0.10528223,0.026339739999999997
LifePath 2050 Index,FU894,894,INL894,BlackRock,2013-06-19 00:00:00,66.49621702,0.11455463999999999,0.029504839999999997
LifePath 2055 Index,FU912,912,INL912,BlackRock,2017-01-11 00:00:00,45.15707544,0.11839976999999999,0.03066109
LifePath 2060 Index,FU927,927,INL927,BlackRock,2019-12-06 00:00:00,16.994596069999997,0.11769373999999999,0.030644269999999998
LifePath 2065 Index,FU949,949,INL949,BlackRock,2022-10-11 00:00:00,1.02340622,0.11917897999999999,0.03071875
ClearPath Income,FU411,411,INL411,Fidelity Investments ,2016-07-05 00:00:00,2.4131466700000006,0.03653102,0.00493153
ClearPath 2020,FU412,412,INL412,Fidelity Investments ,2016-07-05 00:00:00,8.02377845,0.05784732,0.0073135399999999995
ClearPath 2025,FU413,413,INL413,Fidelity Investments ,2016-07-05 00:00:00,31.324895270000003,0.07195501,0.01132501
ClearPath 2030,FU414,414,INL414,Fidelity Investments ,2016-07-05 00:00:00,49.215323340000005,0.08526637,0.01513211
ClearPath 2035,FU415,415,INL415,Fidelity Investments ,2016-07-05 00:00:00,55.55787461,0.09502524,0.01824087
ClearPath 2040,FU416,416,INL416,Fidelity Investments ,2016-07-05 00:00:00,58.64706178,0.11017776,0.02280002
ClearPath 2045,FU417,417,INL417,Fidelity Investments ,2016-07-05 00:00:00,44.049302620000006,0.11973921000000001,0.02583873
ClearPath 2050,FU418,418,INL418,Fidelity Investments ,2016-07-05 00:00:00,32.827955010000004,0.11987761000000001,0.025821030000000002
ClearPath 2055,FU419,419,INL419,Fidelity Investments ,2016-07-05 00:00:00,26.23689469,0.11980964999999999,0.025785290000000002
ClearPath 2060,FU721,721,INL721,Fidelity Investments ,2020-04-22 00:00:00,2.6483734900000004,0.11948765,0.025748829999999997
