Portfolio,Portfolio Code,Portfolio Code,Index Code,1 month
Conservative - Attitude 2006-2010,P9000,9000,INP9000,-0.003607329078702315
Conservative - Attitude 2011-2015,P9546,9546,INP9546,-0.0032911863318939583
Conservative - Attitude 2016-2020,P9001,9001,INP9001,-0.002437072040987087
Conservative - Attitude 2021-2025,P9547,9547,INP9547,-0.0013297548100260626
Conservative - Attitude 2026-2030,P9002,9002,INP9002,0.0002481525680175789
Conservative - Attitude 2031-2035,P9548,9548,INP9548,0.0022922457977803123
Conservative - Attitude 2036-2040,P9003,9003,INP9003,0.005342825678199548
Conservative - Attitude 2041-2045,P9549,9549,INP9549,0.009026658943351418
Conservative - Attitude 2046-2050,P9004,9004,INP9004,0.011589281834028409
Conservative - Attitude 2051-2055,P9550,9550,INP9550,0.013349883636309734
Conservative - Attitude 2056-2060,P9339,9339,INP9339,0.014221911167984658
Conservative - Attitude 2061-2065,PA005,A005,INPA005,0.014221911167984658
Conservative - Attitude 2066-2070,PA134,A134,INPA134,0.014221911167984658
Moderate - Attitude 2006-2010,P9005,9005,INP9005,-0.0020793187973923155
Moderate - Attitude 2011-2015,P9553,9553,INP9553,-0.0017076611821452703
Moderate - Attitude 2016-2020,P9006,9006,INP9006,-0.000681160366913014
Moderate - Attitude 2021-2025,P9554,9554,INP9554,0.0006484708528238237
Moderate - Attitude 2026-2030,P9007,9007,INP9007,0.0021797631305999765
Moderate - Attitude 2031-2035,P9555,9555,INP9555,0.003924265590972809
Moderate - Attitude 2036-2040,P9008,9008,INP9008,0.006489468988151836
Moderate - Attitude 2041-2045,P9556,9556,INP9556,0.01021854746615336
Moderate - Attitude 2046-2050,P9009,9009,INP9009,0.01332420963158909
Moderate - Attitude 2051-2055,P9557,9557,INP9557,0.015445213210763642
Moderate - Attitude 2056-2060,P9340,9340,INP9340,0.01651403596974066
Moderate - Attitude 2061-2065,PA004,A004,INPA004,0.01651403596974066
Moderate - Attitude 2066-2070,PA133,A133,INPA133,0.01651403596974066
Balanced - Attitude 2006-2010,P9010,9010,INP9010,-0.0014977406538345672
Balanced - Attitude 2011-2015,P9560,9560,INP9560,-0.0011625119777026738
Balanced - Attitude 2016-2020,P9011,9011,INP9011,-0.0002498656531852994
Balanced - Attitude 2021-2025,P9561,9561,INP9561,0.0009297121570146505
Balanced - Attitude 2026-2030,P9012,9012,INP9012,0.0031832887595129034
Balanced - Attitude 2031-2035,P9562,9562,INP9562,0.006514897836647826
Balanced - Attitude 2036-2040,P9013,9013,INP9013,0.009873598900706382
Balanced - Attitude 2041-2045,P9563,9563,INP9563,0.01282899439162688
Balanced - Attitude 2046-2050,P9014,9014,INP9014,0.014707676656958935
Balanced - Attitude 2051-2055,P9564,9564,INP9564,0.01595899971037018
Balanced - Attitude 2056-2060,P9341,9341,INP9341,0.016587565362880863
Balanced - Attitude 2061-2065,PA003,A003,INPA003,0.016587565362880863
Balanced - Attitude 2066-2070,PA132,A132,INPA132,0.016587565362880863
Growth - Attitude 2006-2010,P9015,9015,INP9015,-0.0009251636573369693
Growth - Attitude 2011-2015,P9567,9567,INP9567,-0.0005556693349219044
Growth - Attitude 2016-2020,P9016,9016,INP9016,0.0004733650623669483
Growth - Attitude 2021-2025,P9568,9568,INP9568,0.0018118993754419055
Growth - Attitude 2026-2030,P9017,9017,INP9017,0.0053312963706819705
Growth - Attitude 2031-2035,P9569,9569,INP9569,0.009670954604992232
Growth - Attitude 2036-2040,P9018,9018,INP9018,0.012675563425429193
Growth - Attitude 2041-2045,P9570,9570,INP9570,0.015043400189473699
Growth - Attitude 2046-2050,P9019,9019,INP9019,0.016297018490282866
Growth - Attitude 2051-2055,P9571,9571,INP9571,0.01710304234817861
Growth - Attitude 2056-2060,P9342,9342,INP9342,0.017499414412025738
Growth - Attitude 2061-2065,PA002,A002,INPA002,0.017499414412025738
Growth - Attitude 2066-2070,PA131,A131,INPA131,0.017499414412025738
Aggressive - Attitude 2006-2010,P9020,9020,INP9020,-0.0006203393747021835
Aggressive - Attitude 2011-2015,P9574,9574,INP9574,4.439512460097106e-06
Aggressive - Attitude 2016-2020,P9021,9021,INP9021,0.0017664606473639655
Aggressive - Attitude 2021-2025,P9575,9575,INP9575,0.004095217731836742
Aggressive - Attitude 2026-2030,P9022,9022,INP9022,0.00756054029758757
Aggressive - Attitude 2031-2035,P9576,9576,INP9576,0.011045905477484297
Aggressive - Attitude 2036-2040,P9023,9023,INP9023,0.013500211981247068
Aggressive - Attitude 2041-2045,P9577,9577,INP9577,0.015670467761235818
Aggressive - Attitude 2046-2050,P9024,9024,INP9024,0.01690199933855152
Aggressive - Attitude 2051-2055,P9578,9578,INP9578,0.01752996964874476
Aggressive - Attitude 2056-2060,P9343,9343,INP9343,0.017846210261278417
Aggressive - Attitude 2061-2065,PA001,A001,INPA001,0.017846210261278417
Aggressive - Attitude 2066-2070,PA130,A130,INPA130,0.017846210261278417
