fund_identifier,funds,fees,fund_company,,,,,
FUA133BRUT,Moderate - Attitude 2066-2070,0.00923,Industrial Alliance,,,,,
FUA132BRUT,Balanced - Attitude 2066-2070,0.00924,Industrial Alliance,,,,,
FUA131BRUT,Growth - Attitude 2066-2070,0.00928,Industrial Alliance,,,,,
FU133BRUT,Global Equity (Mawer),0.01223,Industrial Alliance,,,,,
FU131BRUT,International Equity (Mawer),0.01333,Industrial Alliance,,,,,
FU132BRUT,U.S. Equity (Mawer),0.01113,Industrial Alliance,,,,,
FU9000BRUT,Conservative - Attitude 2006-2010,0.00837,Industrial Alliance,,,,,
FU9546BRUT,Conservative - Attitude 2011-2015,0.00840,Industrial Alliance,,,,,
FU9001BRUT,Conservative - Attitude 2016-2020,0.00844,Industrial Alliance,,,,,
FU9547BRUT,Conservative - Attitude 2021-2025,0.0085,Industrial Alliance,,,,,
FU9002BRUT,Conservative - Attitude 2026-2030,0.00857,Industrial Alliance,,,,,
FU9548BRUT,Conservative - Attitude 2031-2035,0.00866,Industrial Alliance,,,,,
FU9003BRUT,Conservative - Attitude 2036-2040,0.00878,Industrial Alliance,,,,,
FU9549BRUT,Conservative - Attitude 2041-2045,0.00892,Industrial Alliance,,,,,
FU9004BRUT,Conservative - Attitude 2046-2050,0.00903,Industrial Alliance,,,,,
FU9550BRUT,Conservative - Attitude 2051-2055,0.0091,Industrial Alliance,,,,,
FU9339BRUT,Conservative - Attitude 2056-2060,0.00914,Industrial Alliance,,,,,
FU005BRUT,Conservative - Attitude 2061-2065,0.00914,Industrial Alliance,,,,,
FU134BRUT,Conservative - Attitude 2066-2070,0.00914,Industrial Alliance,,,,,
FU9005BRUT,Moderate - Attitude 2006-2010,0.00844,Industrial Alliance,,,,,
FU9553BRUT,Moderate - Attitude 2011-2015,0.00846,Industrial Alliance,,,,,
FU9006BRUT,Moderate - Attitude 2016-2020,0.00852,Industrial Alliance,,,,,
FU9554BRUT,Moderate - Attitude 2021-2025,0.00858,Industrial Alliance,,,,,
FU9007BRUT,Moderate - Attitude 2026-2030,0.00865,Industrial Alliance,,,,,
FU9555BRUT,Moderate - Attitude 2031-2035,0.00872,Industrial Alliance,,,,,
FU9008BRUT,Moderate - Attitude 2036-2040,0.00883,Industrial Alliance,,,,,
FU9556BRUT,Moderate - Attitude 2041-2045,0.00897,Industrial Alliance,,,,,
FU9009BRUT,Moderate - Attitude 2046-2050,0.00909,Industrial Alliance,,,,,
FU9557BRUT,Moderate - Attitude 2051-2055,0.00918,Industrial Alliance,,,,,
FU9340BRUT,Moderate - Attitude 2056-2060,0.00923,Industrial Alliance,,,,,
FU004BRUT,Moderate - Attitude 2061-2065,0.00923,Industrial Alliance,,,,,
FU9010BRUT,Balanced - Attitude 2006-2010,0.00847,Industrial Alliance,,,,,
FU9560BRUT,Balanced - Attitude 2011-2015,0.00849,Industrial Alliance,,,,,
FU9011BRUT,Balanced - Attitude 2016-2020,0.00584,Industrial Alliance,,,,,
FU9561BRUT,Balanced - Attitude 2021-2025,0.0086,Industrial Alliance,,,,,
FU9012BRUT,Balanced - Attitude 2026-2030,0.0087,Industrial Alliance,,,,,
FU9562BRUT,Balanced - Attitude 2031-2035,0.0086,Industrial Alliance,,,,,
FU9013BRUT,Balanced - Attitude 2036-2040,0.00895,Industrial Alliance,,,,,
FU9563BRUT,Balanced - Attitude 2041-2045,0.00907,Industrial Alliance,,,,,
FU9014BRUT,Balanced - Attitude 2046-2050,0.00915,Industrial Alliance,,,,,
FU9564BRUT,Balanced - Attitude 2051-2055,0.00921,Industrial Alliance,,,,,
FU9341BRUT,Balanced - Attitude 2056-2060,0.00924,Industrial Alliance,,,,,
FU003BRUT,Balanced - Attitude 2061-2065,0.00924,Industrial Alliance,,,,,
FU9015BRUT,Growth - Attitude 2006-2010,0.0085,Industrial Alliance,,,,,
FU9567BRUT,Growth - Attitude 2011-2015,0.00853,Industrial Alliance,,,,,
FU9016BRUT,Growth - Attitude 2016-2020,0.00858,Industrial Alliance,,,,,
FU9568BRUT,Growth - Attitude 2021-2025,0.00864,Industrial Alliance,,,,,
FU9017BRUT,Growth - Attitude 2026-2030,0.00878,Industrial Alliance,,,,,
FU9569BRUT,Growth - Attitude 2031-2035,0.00894,Industrial Alliance,,,,,
FU9018BRUT,Growth - Attitude 2036-2040,0.00905,Industrial Alliance,,,,,
FU9570BRUT,Growth - Attitude 2041-2045,0.00915,Industrial Alliance,,,,,
FU9019BRUT,Growth - Attitude 2046-2050,0.00922,Industrial Alliance,,,,,
FU9571BRUT,Growth - Attitude 2051-2055,0.00926,Industrial Alliance,,,,,
FU9342BRUT,Growth - Attitude 2056-2060,0.00928,Industrial Alliance,,,,,
FU002BRUT,Growth - Attitude 2061-2065,0.00928,Industrial Alliance,,,,,
FU9020BRUT,Aggressive - Attitude 2006-2010,0.00854,Industrial Alliance,,,,,
FU9574BRUT,Aggressive - Attitude 2011-2015,0.00857,Industrial Alliance,,,,,
FU9021BRUT,Aggressive - Attitude 2016-2020,0.00865,Industrial Alliance,,,,,
FU9575BRUT,Aggressive - Attitude 2021-2025,0.00874,Industrial Alliance,,,,,
FU9022BRUT,Aggressive - Attitude 2026-2030,0.00888,Industrial Alliance,,,,,
FU9576BRUT,Aggressive - Attitude 2031-2035,0.009,Industrial Alliance,,,,,
FU9023BRUT,Aggressive - Attitude 2036-2040,0.0091,Industrial Alliance,,,,,
FU9577BRUT,Aggressive - Attitude 2041-2045,0.00919,Industrial Alliance,,,,,
FU9024BRUT,Aggressive - Attitude 2046-2050,0.00925,Industrial Alliance,,,,,
FU9578BRUT,Aggressive - Attitude 2051-2055,0.00929,Industrial Alliance,,,,,
FU9343BRUT,Aggressive - Attitude 2056-2060,0.00931,Industrial Alliance,,,,,
FU001BRUT,Aggressive - Attitude 2061-2065,0.00931,Industrial Alliance,,,,,
FUA130BRUT,Aggressive - Attitude 2066-2070,0.00931,Industrial Alliance,,,,,
FU506BRUT,Asset Allocation - Conservative,0.00957,Industrial Alliance,,,,,
FU507BRUT,Asset Allocation - Moderate,0.00959,Industrial Alliance,,,,,
FU508BRUT,Asset Allocation - Balanced,0.0096,Industrial Alliance,,,,,
FU509BRUT,Asset Allocation - Growth,0.00961,Industrial Alliance,,,,,
FU510BRUT,Asset Allocation - Aggressive Growth,0.00964,Industrial Alliance,,,,,
FU922BRUT,Portfolio Series Income (CI),0.01053,Industrial Alliance,,,,,
FU923BRUT,Portfolio Series Conservative (CI),0.01053,Industrial Alliance,,,,,
FU924BRUT,Portfolio Series Balanced (CI),0.01053,Industrial Alliance,,,,,
FU925BRUT,Portfolio Series Balanced Growth (CI),0.01053,Industrial Alliance,,,,,
FU926BRUT,Portfolio Series Growth (CI),0.01053,Industrial Alliance,,,,,
FU070BRUT,Money Market,0.00703,Industrial Alliance,,,,,
FU170BRUT,Short Term Bond,0.00853,Industrial Alliance,,,,,
FU722BRUT,Canadian Bond Index (BlackRock),0.00716,Industrial Alliance,,,,,
FU383BRUT,Green Bond (AlphaFixe),0.00961,Industrial Alliance,,,,,
FU020BRUT,Bond,0.00853,Industrial Alliance,,,,,
FU587BRUT,Responsible Fossil Fuel Free Bond,0.00903,Industrial Alliance,,,,,
FU472BRUT,Bond (Fiera Capital),0.00917,Industrial Alliance,,,,,
FU521BRUT,Bond (PH&N),0.00973,Industrial Alliance,,,,,
FU632BRUT,Core Plus Bond (PH&N),0.01023,Industrial Alliance,,,,,
FU860BRUT,Core Plus Bond (PIMCO),0.00983,Industrial Alliance,,,,,
FU453BRUT,ReturnPlus (AlphaFixe),0.01016,Industrial Alliance,,,,,
FU021BRUT,Canadian Corporate Bond,0.00853,Industrial Alliance,,,,,
FU504BRUT,Long Term Bond,0.00853,Industrial Alliance,,,,,
FU861BRUT,Core Plus Long Term Bond (PIMCO),0.00983,Industrial Alliance,,,,,
