Portfolio,Portfolio Code,Portfolio Code,Index Code,1 month
Conservative - Attitude 2006-2010,P9000,9000,INP9000,-0.006996
Conservative - Attitude 2011-2015,P9546,9546,INP9546,-0.0070282999999999995
Conservative - Attitude 2016-2020,P9001,9001,INP9001,-0.0072358
Conservative - Attitude 2021-2025,P9547,9547,INP9547,-0.007577899999999999
Conservative - Attitude 2026-2030,P9002,9002,INP9002,-0.0079851
Conservative - Attitude 2031-2035,P9548,9548,INP9548,-0.0086493
Conservative - Attitude 2036-2040,P9003,9003,INP9003,-0.0094805
Conservative - Attitude 2041-2045,P9549,9549,INP9549,-0.010754099999999999
Conservative - Attitude 2046-2050,P9004,9004,INP9004,-0.0116706
Conservative - Attitude 2051-2055,P9550,9550,INP9550,-0.012189499999999999
Conservative - Attitude 2056-2060,P9339,9339,INP9339,-0.0125963
Conservative - Attitude 2061-2065,PA005,A005,INPA005,-0.0125963
Conservative - Attitude 2066-2070,PA134,A134,INPA134,-0.0125963
Moderate - Attitude 2006-2010,P9005,9005,INP9005,-0.0076144
Moderate - Attitude 2011-2015,P9553,9553,INP9553,-0.0076576
Moderate - Attitude 2016-2020,P9006,9006,INP9006,-0.0078952
Moderate - Attitude 2021-2025,P9554,9554,INP9554,-0.0083135
Moderate - Attitude 2026-2030,P9007,9007,INP9007,-0.0087663
Moderate - Attitude 2031-2035,P9555,9555,INP9555,-0.0093164
Moderate - Attitude 2036-2040,P9008,9008,INP9008,-0.010011
Moderate - Attitude 2041-2045,P9556,9556,INP9556,-0.0111731
Moderate - Attitude 2046-2050,P9009,9009,INP9009,-0.0122952
Moderate - Attitude 2051-2055,P9557,9557,INP9557,-0.012924
Moderate - Attitude 2056-2060,P9340,9340,INP9340,-0.0134369
Moderate - Attitude 2061-2065,PA004,A004,INPA004,-0.0134369
Moderate - Attitude 2066-2070,PA133,A133,INPA133,-0.0134369
Balanced - Attitude 2006-2010,P9010,9010,INP9010,-0.007871
Balanced - Attitude 2011-2015,P9560,9560,INP9560,-0.0079067
Balanced - Attitude 2016-2020,P9011,9011,INP9011,-0.0081238
Balanced - Attitude 2021-2025,P9561,9561,INP9561,-0.0084836
Balanced - Attitude 2026-2030,P9012,9012,INP9012,-0.0090236
Balanced - Attitude 2031-2035,P9562,9562,INP9562,-0.0101373
Balanced - Attitude 2036-2040,P9013,9013,INP9013,-0.0112653
Balanced - Attitude 2041-2045,P9563,9563,INP9563,-0.0122946
Balanced - Attitude 2046-2050,P9014,9014,INP9014,-0.012912999999999999
Balanced - Attitude 2051-2055,P9564,9564,INP9564,-0.0132624
Balanced - Attitude 2056-2060,P9341,9341,INP9341,-0.0135286
Balanced - Attitude 2061-2065,PA003,A003,INPA003,-0.0135286
Balanced - Attitude 2066-2070,PA132,A132,INPA132,-0.0135286
Growth - Attitude 2006-2010,P9015,9015,INP9015,-0.0081285
Growth - Attitude 2011-2015,P9567,9567,INP9567,-0.0081708
Growth - Attitude 2016-2020,P9016,9016,INP9016,-0.0084237
Growth - Attitude 2021-2025,P9568,9568,INP9568,-0.0088416
Growth - Attitude 2026-2030,P9017,9017,INP9017,-0.0096131
Growth - Attitude 2031-2035,P9569,9569,INP9569,-0.011335900000000001
Growth - Attitude 2036-2040,P9018,9018,INP9018,-0.0123345
Growth - Attitude 2041-2045,P9570,9570,INP9570,-0.013203800000000002
Growth - Attitude 2046-2050,P9019,9019,INP9019,-0.0135612
Growth - Attitude 2051-2055,P9571,9571,INP9571,-0.0137533
Growth - Attitude 2056-2060,P9342,9342,INP9342,-0.0138997
Growth - Attitude 2061-2065,PA002,A002,INPA002,-0.0138997
Growth - Attitude 2066-2070,PA131,A131,INPA131,-0.0138997
Aggressive - Attitude 2006-2010,P9020,9020,INP9020,-0.008333199999999999
Aggressive - Attitude 2011-2015,P9574,9574,INP9574,-0.0084127
Aggressive - Attitude 2016-2020,P9021,9021,INP9021,-0.0088779
Aggressive - Attitude 2021-2025,P9575,9575,INP9575,-0.0096465
Aggressive - Attitude 2026-2030,P9022,9022,INP9022,-0.0106067
Aggressive - Attitude 2031-2035,P9576,9576,INP9576,-0.011989000000000001
Aggressive - Attitude 2036-2040,P9023,9023,INP9023,-0.0127887
Aggressive - Attitude 2041-2045,P9577,9577,INP9577,-0.0135126
Aggressive - Attitude 2046-2050,P9024,9024,INP9024,-0.013897699999999999
Aggressive - Attitude 2051-2055,P9578,9578,INP9578,-0.0140018
Aggressive - Attitude 2056-2060,P9343,9343,INP9343,-0.0140867
Aggressive - Attitude 2061-2065,PA001,A001,INPA001,-0.0140867
Aggressive - Attitude 2066-2070,PA130,A130,INPA130,-0.0140867
