fund_identifier,funds,returns,fund_company,fund_type
2000,Manulife Retirement Income Fund34,-0.57,Manulife,Available
2001,Manulife Conservative Asset Allocation Fund34,-0.48,Manulife,Available
2002,Manulife Moderate Asset Allocation Fund34,-0.65,Manulife,Available
2003,Manulife Balanced Asset Allocation Fund34,-0.91,Manulife,Available
2004,Manulife Growth Asset Allocation Fund34,-1.1,Manulife,Available
2005,Manulife Aggressive Asset Allocation Fund34,-1.28,Manulife,Available
2025,Manulife Retirement Date 2025 Fund34,-0.74,Manulife,Available
2030,Manulife Retirement Date 2030 Fund34,-1.03,Manulife,Available
2035,Manulife Retirement Date 2035 Fund34,-1.22,Manulife,Available
2040,Manulife Retirement Date 2040 Fund34,-1.25,Manulife,Available
2045,Manulife Retirement Date 2045 Fund34,-1.2,Manulife,Available
2050,Manulife Retirement Date 2050 Fund34,-1.21,Manulife,Available
2055,Manulife Retirement Date 2055 Fund34,-1.21,Manulife,Available
2060,Manulife Retirement Date 2060 Fund34,-1.21,Manulife,Available
2065,Manulife Retirement Date 2065 Fund34,-1.2,Manulife,Available
2140,Manulife Fidelity ClearPath Income Portfolio34,-0.45,Manulife,Available
2141,Manulife Fidelity ClearPath 2010 Portfolio34,-0.56,Manulife,Available
2142,Manulife Fidelity ClearPath 2015 Portfolio34,-0.67,Manulife,Available
2143,Manulife Fidelity ClearPath 2020 Portfolio34,-0.7,Manulife,Available
2144,Manulife Fidelity ClearPath 2025 Portfolio34,-0.72,Manulife,Available
2145,Manulife Fidelity ClearPath 2030 Portfolio34,-0.74,Manulife,Available
2146,Manulife Fidelity ClearPath 2035 Portfolio34,-0.73,Manulife,Available
2147,Manulife Fidelity ClearPath 2040 Portfolio34,-0.72,Manulife,Available
2148,Manulife Fidelity ClearPath 2045 Portfolio34,-0.69,Manulife,Available
2149,Manulife Fidelity ClearPath 2050 Portfolio34,-0.69,Manulife,Available
2150,Manulife Fidelity ClearPath 2055 Portfolio34,-0.68,Manulife,Available
2151,Manulife Fidelity ClearPath 2060 Portfolio34,-0.68,Manulife,Available
2152,Manulife Fidelity ClearPath 2065 Portfolio34,-0.66,Manulife,Available
2161,Manulife MFS Conservative Allocation Fund34,-0.76,Manulife,Available
2162,Manulife MFS Moderate Allocation Fund34,-1.05,Manulife,Available
2163,Manulife MFS Growth Allocation Fund34,-1.4,Manulife,Available
2193,Manulife Group IncomePlus Balanced Asset Allocation Fund,-0.91,Manulife,Available
2231,Manulife CI Portfolio Series Income Fund34,-0.13,Manulife,Available
2232,Manulife CI Portfolio Series Moderate Fund34,-0.22,Manulife,Available
