fund_identifier,funds,fees,fund_company
2000,2000 - MLI Retirement Income Fund,0.01061,Manulife
2025,2025 - MLI Retirement Date 2025 Fund,0.01062,Manulife
2030,2030 - MLI Retirement Date 2030 Fund,0.01062,Manulife
2035,2035 - MLI Retirement Date 2035 Fund,0.01061,Manulife
2040,2040 - MLI Retirement Date 2040 Fund,0.01061,Manulife
2045,2045 - MLI Retirement Date 2045 Fund,0.0106,Manulife
2050,2050 - MLI Retirement Date 2050 Fund,0.0106,Manulife
2055,2055 - MLI Retirement Date 2055 Fund,0.01064,Manulife
2060,2060 - MLI Retirement Date 2060 Fund,0.0135,Manulife
2140,2140 - MLI Fidelity ClearPath Income Portfolio,0.0135,Manulife
2143,2143 - MLI Fidelity ClearPath 2020 Portfolio,0.0135,Manulife
2144,2144 - MLI Fidelity ClearPath 2025 Portfolio,0.0135,Manulife
2145,2145 - MLI Fidelity ClearPath 2030 Portfolio,0.0135,Manulife
2146,2146 - MLI Fidelity ClearPath 2035 Portfolio,0.0135,Manulife
2147,2147 - MLI Fidelity ClearPath 2040 Portfolio,0.0135,Manulife
2148,2148 - MLI Fidelity ClearPath 2045 Portfolio,0.0135,Manulife
2149,2149 - MLI Fidelity ClearPath 2050 Portfolio,0.0135,Manulife
2150,2150 - MLI Fidelity ClearPath 2055 Portfolio,0.0135,Manulife
2151,2151 - MLI Fidelity ClearPath 2060 Portfolio,0.01,Manulife
2321,2321 - MLI BlackRock LifePath Index Retirement Fund,0.01003,Manulife
2324,2324 - Manulife BlackRock LifePath Index 2020 Fund34,0.01004,Manulife
2325,2325 - MLI BlackRock LifePath Index 2025 Fund,0.01005,Manulife
2326,2326 - MLI BlackRock LifePath Index 2030 Fund,0.01007,Manulife
2327,2327 - MLI BlackRock LifePath Index 2035 Fund,0.00998,Manulife
2328,2328 - MLI BlackRock LifePath Index 2040 Fund,0.0099,Manulife
2329,2329 - MLI BlackRock LifePath Index 2045 Fund,0.00999,Manulife
2330,2330 - MLI BlackRock LifePath Index 2050 Fund,0.00999,Manulife
2331,2331 - MLI BlackRock LifePath Index 2055 Fund,0.01133,Manulife
2332,2332 - MLI BlackRock LifePath Index 2060 Fund,0.01148,Manulife
2500,2500 - MLI Franklin LifeSmart Retirement Fund,0.01253,Manulife
2531,2531 - MLI Franklin LifeSmart 2025 Fund,0.01253,Manulife
2532,2532 - MLI Franklin LifeSmart 2030 Fund,0.01253,Manulife
2533,2533 - MLI Franklin LifeSmart 2035 Fund,0.01253,Manulife
2534,2534 - MLI Franklin LifeSmart 2040 Fund,0.01253,Manulife
2535,2535 - MLI Franklin LifeSmart 2045 Fund,0.01253,Manulife
2536,2536 - MLI Franklin LifeSmart 2050 Fund,0.01253,Manulife
2537,2537 - MLI Franklin LifeSmart 2055 Fund,0.01253,Manulife
2680,2680 - MLI MFS LifePath Retiree Fund,0.0093,Manulife
2683,2683 - MLI MFS LifePlan Retirement 2025 Fund,0.0093,Manulife
2684,2684 - MLI MFS LifePlan Retirement 2030 Fund,0.0093,Manulife
2685,2685 - MLI MFS LifePlan Retirement 2035 Fund,0.0093,Manulife
2686,2686 - MLI MFS LifePlan Retirement 2040 Fund,0.0093,Manulife
2687,2687 - MLI MFS LifePlan Retirement 2045 Fund,0.0093,Manulife
2688,2688 - MLI MFS LifePlan Retirement 2050 Fund,0.0093,Manulife
2689,2689 - MLI MFS LifePlan Retirement 2055 Fund,0.0093,Manulife
2001,2001 - MLI Conservative Asset Allocation Fund,0.01009,Manulife
2002,2002 - MLI Moderate Asset Allocation Fund,0.01012,Manulife
2003,2003 - MLI Balanced Asset Allocation Fund,0.01014,Manulife
2004,2004 - MLI Growth Asset Allocation Fund,0.01014,Manulife
2005,2005 - MLI Aggressive Asset Allocation Fund,0.01014,Manulife
2161,2161 - MLI MFS Conservative Allocation Fund,0.011,Manulife
2162,2162 - MLI MFS Moderate Allocation Fund,0.011,Manulife
2163,2163 - MLI MFS Growth Allocation Fund,0.011,Manulife
2231,2231 - MLI CI Portfolio Series Income Fund,0.0108,Manulife
2232,2232 - MLI CI Portfolio Series Moderate Fund,0.0108,Manulife
2233,2233 - MLI CI Portfolio Series Balanced Fund,0.0108,Manulife
2234,2234 - MLI CI Portfolio Series Growth Fund,0.0108,Manulife
2235,2235 - MLI CI Portfolio Series Maximum Growth Fund,0.0108,Manulife
3132,3132 - MLI Canadian Money Market Fund (MIM),0.007,Manulife
3191,3191 - MLI Daily High Interest Fund,0.0065,Manulife
4012,4012 - MLI Multi-Manager Canadian Bond Fund,0.0098,Manulife
4131,4131 - MLI Canadian Bond Fund (MIM),0.01,Manulife
4133,4133 - MLI MIM Canadian Long Duration Fixed Income Fund,0.0086,Manulife
4136,4136 - MLI MIM Strategic Fixed Income Fund,0.00953,Manulife
4141,4141 - MLI Fidelity Canadian Bond Fund,0.0135,Manulife
4142,4142 - MLI Fidelity Canadian Bond Institutional Fund,0.00935,Manulife
4161,4161 - MLI MFS Fixed Income Fund,0.0083,Manulife
4162,4162 - MLI MFS Long Term Fixed Income,0.00938,Manulife
4191,4191 - MLI MIM Canadian Bond Index Fund,0.00721,Manulife
4192,4192 - MLI Fixed Income Plus Fund (AllianceBernstein),0.00937,Manulife
4271,4271 - MLI PH&N Bond Fund,0.0097,Manulife
4273,4273 - MLI PH&N Short Term Bond & Mortgage Fund,0.01,Manulife
4292,4292 - MLI Guardian Bond Fund,0.00958,Manulife
4322,4322 - MLI BlackRock Long Bond Index Fund,0.00756,Manulife
4323,4323 - MLI BlackRock Canada Universe Bond Index Fund,0.00767,Manulife
4341,4341 - MLI Aberdeen Emerging Markets Debt Fund,0.0125,Manulife
4372,4372 - MLI AllianceBernstein Canadian Core Plus Bond Fund,0.01122,Manulife
4442,4442 - MLI MIM Canadian Corporate Fixed Income Fund,0.0086,Manulife
4444,4444 - MLI Strategic Investment Grade Global Bond Fund,0.0095,Manulife
4503,4503 - MLI Templeton Global Bond Fund,0.011,Manulife
4632,4632 - MLI Beutel Goodman Fixed Income Fund,0.0089,Manulife
4660,4660 - MLI Canadian Mortgage Fund ,0.01272,Manulife
4661,4661 - MLI MIM Short Term Bond Fund,0.00888,Manulife
4663,4663 - MLI MIM Real Return Bond Fund,0.00714,Manulife
4991,4991 - MLI PIMCO Canadian Core Plus Bond Fund,0.0115,Manulife
2287,2287 - MLI Russell Investment Balanced Growth Fund,0.01392,Manulife
