fund_identifier,funds,returns,fund_type,fund_company
F00000JSEU,SL MFS US Growth Seg Fund,2.064,Available,Sun Life
F00000JSEV,SL MFS US Value Seg Fund,-3.779,Available,Sun Life
F00000JSEW,SL MFS Global Value Seg Fund,-2.473,Available,Sun Life
F00000JSEX,SL MFS Global Growth Seg Fund,-0.339,Available,Sun Life
F00000JSEY,SL MFS International Growth Seg Fund,0.456,Available,Sun Life
F00000M0AT,MSCI EAFE - JF Net CAD,0.3816,Benchmark,Sun Life
F00000MCRN,SL BlackRock Canadian Equity Seg Fund,-2.168,Available,Sun Life
F00000MJTJ,Russell 1000 TR CAD,-0.1462,Benchmark,Sun Life
F00000MO4H,Invesco Global Companies Benchmark,0.2862,Benchmark,Sun Life
F00000MSJT,SLF PH&N Short Bond Seg Fund,0.31,Available,Sun Life
F00000MSJU,SL Multi-Strategy Bond Seg Fund,-0.744,Available,Sun Life
F00000MSJV,SLF PH&N Long Bond Seg Fund,-2.628,Available,Sun Life
F00000MSJW,Templeton Global Bond Segregated Fund,-1.752,Available,Sun Life
F00000MSJZ,Invesco Global Real Est Seg Fund-Listed,-4.658,Available,Sun Life
F00000MSK0,SL Schroder Emerging Markets Seg Fund,1.412,Available,Sun Life
F00000MTDQ,JPM Global Government Bond Index (C$),-0.0229,Benchmark,Sun Life
F00000MTDS,FTSE EPRA Nareit Developed Real Estate CAD,-4.3984,Benchmark,Sun Life
F00000NCJU,SL Granite 2050 Seg Fund,-0.944,Available,Sun Life
F00000ND1J,SL Granite 2050 Benchmark,-0.8246,Benchmark,Sun Life
F00000NMH1,SL Granite 2030 Aggressive Seg Fund,-0.844,Available,Sun Life
F00000NMH2,SL Granite 2040 Aggressive Seg Fund,-0.915,Available,Sun Life
F00000NMH3,SL Granite 2050 Aggressive Seg Fund,-0.99,Available,Sun Life
F00000NMH5,SL Granite 2030 Conservative Seg Fund,-0.942,Available,Sun Life
F00000NMH6,SL Granite 2040 Conservative Seg Fund,-0.839,Available,Sun Life
