fund_identifier,funds,market_value,member_count,fund_company,invested
FOUSA06OM3,B.G. BALANCED FUND(HVC),552.38,,Sun Life,Yes
FOUSA06OQG,INVESCO INCOME GROWTH C(KUY),36842.86,,Sun Life,Yes
FOUSA06OR0,JF BALANCED FUND C(JOT),151.84,,Sun Life,Yes
FOUSA06OO4,MFS LP RETIREE FUND(L7V),14318.44,,Sun Life,Yes
FOUSA06OOO,MFS LP RETIREMENT 2025(VDW),94651.26,,Sun Life,Yes
FOUSA06OOP,MFS LP RETIREMENT 2030(VDX),363269.01,,Sun Life,Yes
FOUSA06OOQ,MFS LP RETIREMENT 2035(VDY),248205.67,,Sun Life,Yes
FOUSA06OOR,MFS LP RETIREMENT 2040(VDZ),493875.88,,Sun Life,Yes
FOUSA08MZ1,MFS LP RETIREMENT 2045(VEA),480968.37,,Sun Life,Yes
FOUSA08MZ2,MFS LP RETIREMENT 2050(VEB),37878.03,,Sun Life,Yes
F00000WUXK,MFS LP RETIREMENT 2055(VOY),95212.68,,Sun Life,Yes
FOUSA06OOV,MFS RESPONSIBLE BALANCED(KBY),6337.34,,Sun Life,Yes
FOUSA08PE3,SL GRANITE AGGRESSIVE(SHH),2706.46,,Sun Life,Yes
FOUSA08PE1,SL GRANITE BALANCED(SEJ),942580.95,,Sun Life,Yes
FOUSA08PDZ,SL GRANITE CONSERVATIVE(SBL),23857.5,,Sun Life,Yes
FOUSA08PE2,SL GRANITE GROWTH(SFV),316073,,Sun Life,Yes
FOUSA08PE0,SL GRANITE MODERATE(SCX),49309.44,,Sun Life,Yes
F00000SA6Y,BG FUNDAMENTAL CDN EQUITY(IMO),94536.58,,Sun Life,Yes
F0CAN069W6,BLK S&P/TSX COMP INDEX(J16),21944.91,,Sun Life,Yes
FOUSA06OQC,FIDELITY TRUE NORTH FUND(HHO),78319.49,,Sun Life,Yes
F0CAN069W8,BLK BOND INDEX FUND(HZR),37038.57,,Sun Life,Yes
FOUSA06OLW,BG AMERICAN EQUITY(HWB),23942.06,,Sun Life,Yes
F0CAN069W9,BLK EAFE EQUITY INDEX(DNN),869.14,,Sun Life,Yes
FOUSA06OOW,BLK US EQUITY INDEX REG(S5L),18238.44,,Sun Life,Yes
F0000161R0,CAPITAL GROUP GLOBAL EQUITY(T5A),1992.9,,Sun Life,Yes
F00000SA74,FIERA INTERNATIONAL EQ(IBS),83434.05,,Sun Life,Yes
DIA,SLF MONEY MARKET(GNN),7540.41,,Sun Life,Yes
